Row,Annotation.ID,formula,adduct,evidence,m.z,RT,ms2_available,homol,network_annotation,network_formula,network_inputNode,network_layer,network_comment,key_fragments,mz_diff,seedNo
Cluster_3338,,,,,543.1823428,7.048526938,Yes,no,angl#2+-165.124,NA,Cluster_2143,1_layer_gnps,simil:0.9301; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-165.12389970000004,1
Cluster_3341,,,,,544.0981159,12.44600012,Yes,no,iglu#10+-93.008,NA,Cluster_2598,1_layer_gnps,simil:0.8034; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-93.00802360000006,1
Cluster_3342,,,,,544.1358657,12.66454375,Yes,no,iglu#121+C5H6O,C26H28NO10P,Cluster_2693,1_layer_mass,simil:NA; mzdiff:ascr -> mbas (+C5H6O); homol mz:NA; homol RT:NA,NA,-82.03964019999995,1
Cluster_3353,,,,,545.0921306,9.387782863,Yes,no,iglu#801+-104.982,NA,Cluster_2524,1_layer_gnps,simil:0.8633; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-104.98180730000001,2
Cluster_3354,,,,,545.0943735,11.8548308,Yes,no,iglu#2+-187.025,NA,Cluster_2005,1_layer_gnps,simil:0.8048; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-187.02478449999995,3
Cluster_3356,,,,,545.1316052,10.62046844,Yes,no,iglu#6+C5H6O,C25H27N2O10P,Cluster_5334,1_layer_mass,simil:NA; mzdiff:ascr -> mbas (+C5H6O); homol mz:NA; homol RT:NA,NA,-82.04142959999996,3
Cluster_3358,,,,,545.0944227,11.03784726,Yes,no,iglu#801+-104.984,NA,Cluster_2524,1_layer_gnps,simil:0.8048; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-104.98409939999999,4
Cluster_3381,,,,,552.1480191,7.647778546,Yes,no,angl#2+-174.09,NA,Cluster_2143,1_layer_gnps,simil:0.8852; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-174.08957600000008,1
Cluster_3391,,,,,553.1564969,7.353308592,Yes,no,angl#4+C4H8,C24H31N2O11P,Cluster_2972,1_layer_mass,simil:NA; mzdiff:C4H8; homol mz:NA; homol RT:NA,NA,-56.06091849999996,1
Cluster_3404,,,,,556.112104,10.05010104,Yes,no,iglu#10+-105.022,NA,Cluster_2598,1_layer_gnps,simil:0.9371; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-105.02201170000006,1
