Row,Annotation.ID,formula,adduct,evidence,m.z,RT,ms2_available,homol,network_annotation,network_formula,network_inputNode,network_layer,network_comment,key_fragments,mz_diff,seedNo
Cluster_5678,,,,,357.8984858,6.099891465,Yes,no,iglu#2-0.171,NA,Cluster_2005,1_layer_gnps,simil:0.9904; mzdiff:NA; homol mz:NA; homol RT:NA,NA,0.17110320000000456,6
Cluster_6160,,,,,294.0979386,5.688213557,No,no,iglu#1+O,C14H17NO6,Cluster_1277,1_layer_mass,simil:NA; mzdiff:Hydroxylation (+O); homol mz:NA; homol RT:NA,NA,-15.995735600000046,2
Cluster_6279,,,,,442.1285132,7.017977194,No,no,iglu#8+H2,C19H26NO9P,Cluster_2522,1_layer_mass,simil:NA; mzdiff:Hydrogenation (+H2); homol mz:NA; homol RT:NA,NA,-2.0182198999999628,3
Cluster_6295,,,,,468.1476085,1.079957506,No,no,iglu#8+C2H4,C21H28NO9P,Cluster_2523,1_layer_mass,simil:NA; mzdiff:Ethylation (+C2H4); homol mz:NA; homol RT:NA,NA,-28.035742999999968,1
Cluster_6296,,,,,468.1437118,7.284200166,Yes,no,iglu#8+C2H4,C21H28NO9P,Cluster_2522,1_layer_mass,simil:NA; mzdiff:Ethylation (+C2H4); homol mz:NA; homol RT:NA,NA,-28.033418499999982,3
Cluster_6297,,,,,468.1437118,7.284200166,No,no,iglu#8+C2H4,C21H28NO9P,Cluster_2522,1_layer_mass,simil:NA; mzdiff:Ethylation (+C2H4); homol mz:NA; homol RT:NA,NA,-28.033418499999982,3
Cluster_6307,,,,,490.1176354,10.90366512,Yes,no,angl#2+-112.059,NA,Cluster_2143,1_layer_gnps,simil:0.8631; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-112.0591923,3
Cluster_6323,,,,,505.1337551,7.899709546,Yes,no,iglu#4+C2H4,C23H27N2O9P,Cluster_2815,1_layer_mass,simil:NA; mzdiff:Ethylation (+C2H4); homol mz:NA; homol RT:NA,NA,-28.027932599999986,2
Cluster_6360,,,,,565.083662,9.307179926,Yes,no,iglu#2+-207.014,NA,Cluster_2005,1_layer_gnps,simil:0.8246; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-207.014073,3
Cluster_6388,,,,,635.2419829,15.6208472,No,no,tyglu#8+C4H8,C30H41N2O11P,Cluster_3526,1_layer_mass,simil:NA; mzdiff:C4H8; homol mz:NA; homol RT:NA,NA,-56.067945500000064,1
