"","Name...1","cest33 neg endo ms2 1","cest33 neg endo ms2 2","cest33 neg exo ms2 1","cest33 neg exo ms2 2","neg glo1 endo ms2 top5","neg glo1 exo ms2 top5","neg n2 endo ms2 top5","neg n2 exo ms2 top5","Group","Size","Name...12","Mass","m/z","RT","Adduct","Name...17","name","formula","adduct","evidence","MSI Level","Comment","ChEBI ID","SIRIUS_molecularFormula","SIRIUS_adduct"
"12","Cluster_0012",9488675,9812678,3202377.25,3862286.25,334207.40625,NA,1036963.75,239521.0625,"4",2,"Cluster_0012",101.940988511601,100.933712511601,21.2012263547471,"M-H","Cluster_0012",NA,NA,NA,NA,NA,NA,NA,"C2OP2","[M - H]-"
"13","Cluster_0013",565132.375,NA,NA,NA,463582.125,NA,1684463.125,NA,"165",2,"Cluster_0013",101.939466952059,100.932190952059,21.542026143788,"M-H","Cluster_0013",NA,NA,NA,NA,NA,NA,NA,"",""
"14","Cluster_0014",420607.75,NA,NA,NA,1115171.25,353701.75,5792997.5,325862.15625,"167",3,"Cluster_0014",101.93955801517,100.93228201517,21.7492817752582,"M-H","Cluster_0014",NA,NA,NA,NA,NA,NA,NA,"",""
"15","Cluster_0015",1885099.875,341823.78125,116537.15625,NA,456799.25,48268.40234375,2281174.5,121937.3359375,"169",2,"Cluster_0015",101.939680475375,100.932404475375,21.8381408441746,"M-H","Cluster_0015",NA,NA,NA,NA,NA,NA,NA,"",""
"16","Cluster_0016",11047.8505859375,1388244.375,859213,769898.8125,852952.5,NA,2177235.25,NA,"170",2,"Cluster_0016",101.939694176697,100.932418176697,22.0658494044981,"M-H","Cluster_0016",NA,NA,NA,NA,NA,NA,NA,"",""
"17","Cluster_0017",NA,1276095.125,859213,431142.40625,NA,NA,372441.5,134712.8125,"2",2,"Cluster_0017",101.939395684348,100.932119684347,22.2030368350424,"M-H","Cluster_0017",NA,NA,NA,NA,NA,NA,NA,"",""
"18","Cluster_0018",478282.90625,292272.5625,150848.765625,NA,NA,NA,476440.375,75194.875,"163",2,"Cluster_0018",101.939447364942,100.932171364942,22.247,"M-H","Cluster_0018",NA,NA,NA,NA,NA,NA,NA,"",""
"19","Cluster_0019",1319283,2726892,58058.8515625,488127.90625,988712.8125,84728.6875,4597271.5,176991.203125,"168",3,"Cluster_0019",101.939674395101,100.932398395101,22.4257237397559,"M-H","Cluster_0019",NA,NA,NA,NA,NA,NA,NA,"",""
"20","Cluster_0020",1064875,1977557.375,792728.625,759313.125,108362.3125,107260.65625,416955.5625,451770,"179",2,"Cluster_0020",101.941271878637,100.933995878637,22.4986146643014,"M-H","Cluster_0020",NA,NA,NA,NA,NA,NA,NA,"C2OP2","[M - H]-"
"21","Cluster_0021",1349886.25,611072.0625,506289.3125,141057.34375,149804.8125,107558.453125,939053.125,303812.28125,"166",2,"Cluster_0021",101.93951448075,100.93223848075,22.5925266581464,"M-H","Cluster_0021",NA,NA,NA,NA,NA,NA,NA,"",""
"22","Cluster_0022",756863.5,NA,122766.78125,72845.796875,1085694.625,NA,3760128.25,196026.625,"3",2,"Cluster_0022",101.939495971713,100.932219971713,22.7119639728607,"M-H","Cluster_0022",NA,NA,NA,NA,NA,NA,NA,"",""
"23","Cluster_0023",955390.75,4710.4521484375,2034.53100585938,677757.9375,96654.2265625,NA,2373979.5,43403.76953125,"173",2,"Cluster_0023",101.939751667057,100.932475667057,22.9331568846011,"M-H","Cluster_0023",NA,NA,NA,NA,NA,NA,NA,"",""
"24","Cluster_0024",2812107.75,3419975.25,740813.25,1828413.75,372458.25,87699.4765625,728007.875,153241.484375,"177",2,"Cluster_0024",101.941151164186,100.933875164186,23.048276603764,"M-H","Cluster_0024",NA,NA,NA,NA,NA,NA,NA,"C2OP2","[M - H]-"
"25","Cluster_0025",891751.8125,1033684.9375,509803.71875,1052595.75,551593.8125,62839.62109375,2547280.75,NA,"171",2,"Cluster_0025",101.939719501791,100.932443501791,23.325360602971,"M-H","Cluster_0025",NA,NA,NA,NA,NA,NA,NA,"",""
"26","Cluster_0026",3520682.5,4949276.5,2119487.75,1508689.75,173166.734375,186088.75,1085478,322135.28125,"178",3,"Cluster_0026",101.94122378359,100.93394778359,23.5213414265381,"M-H","Cluster_0026",NA,NA,NA,NA,NA,NA,NA,"C2OP2|C3ClP","[M - H]-|[M - H]-"
"27","Cluster_0027",488355.1875,714909.875,1081413,1711803.625,NA,87114.2890625,NA,203752.828125,"183",3,"Cluster_0027",101.943476007563,100.936200007563,23.6206756742432,"M-H","Cluster_0027",NA,NA,NA,NA,NA,NA,NA,"C2OP2","[M - H]-"
"28","Cluster_0028",4044793.5,2205544.5,1535506,1669802,811853.375,195917.765625,568413.75,322953.125,"182",2,"Cluster_0028",101.943210928363,100.935934928363,24.2765388661407,"M-H","Cluster_0028",NA,NA,NA,NA,NA,NA,NA,"C2OP2","[M - H]-"
"29","Cluster_0029",57649.2890625,NA,110003.40625,NA,NA,NA,NA,NA,"161",2,"Cluster_0029",101.93734972047,100.93007372047,16.23180448645,"M-H","Cluster_0029",NA,NA,NA,NA,NA,NA,NA,"",""
"30","Cluster_0030",296303.5625,304416.65625,165199.140625,133055.125,NA,NA,NA,NA,"176",2,"Cluster_0030",101.941045490989,100.933769490989,16.9489412144285,"M-H","Cluster_0030",NA,NA,NA,NA,NA,NA,NA,"C2OP2","[M - H]-"
"31","Cluster_0031",495941,369399.6875,2043425.125,770563.75,NA,NA,NA,NA,"164",3,"Cluster_0031",101.939465385462,100.932189385462,17.9150179743155,"M-H","Cluster_0031",NA,NA,NA,NA,NA,NA,NA,"",""
"32","Cluster_0032",1071067.125,958722.4375,3940671.5,2140680.5,82087.15625,NA,NA,NA,"174",2,"Cluster_0032",101.940787422984,100.933511422984,18.360806771998,"M-H","Cluster_0032",NA,NA,NA,NA,NA,NA,NA,"C2OP2","[M - H]-"
"33","Cluster_0033",704885.125,703612.375,489151.875,332097.25,NA,NA,NA,NA,"188",2,"Cluster_0033",107.011555986264,106.004279986264,19.2555919255294,"M-H","Cluster_0033",NA,NA,NA,NA,NA,NA,NA,"C6H3O2|C4HN3O|H4N4OP","[M - H]-|[M - H]-|[M - H]-"
"34","Cluster_0034",NA,874660.5,795028,NA,NA,NA,NA,NA,"189",2,"Cluster_0034",107.012777157612,106.005501157612,21.819392897544,"M-H","Cluster_0034",NA,NA,NA,NA,NA,NA,NA,"C4HN3O|C6H3O2|C2H6NO2P|H4N4OP","[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"35","Cluster_0035",NA,19668.046875,NA,NA,NA,NA,NA,85438.359375,"198",2,"Cluster_0035",109.027344228317,108.020068228317,18.6188644987311,"M-H","Cluster_0035",NA,NA,NA,NA,NA,NA,NA,"",""
"36","Cluster_0036",NA,21521.69140625,NA,NA,NA,NA,33300.6875,NA,"199",2,"Cluster_0036",109.027760290082,108.020484290082,18.7060283294913,"M-H","Cluster_0036",NA,NA,NA,NA,NA,NA,NA,"C4H3N3O|C6H5O2|C2H8NO2P|C2HN6|H6N4OP","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"37","Cluster_0037",NA,21521.69140625,NA,NA,NA,NA,35756.62890625,NA,"200",2,"Cluster_0037",109.028789254617,108.021513254617,18.7233755269805,"M-H","Cluster_0037",NA,NA,NA,NA,NA,NA,NA,"",""
"38","Cluster_0038",NA,NA,NA,NA,NA,1637579.25,39166.9921875,3786668,"202",2,"Cluster_0038",109.052884605487,108.045608605487,5.09640473917177,"M-H","Cluster_0038",NA,NA,NA,NA,NA,NA,NA,"C6H7NO|C2H10N2OP|C4H5N4|CH9N4S|H8N5P","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"39","Cluster_0039",NA,NA,NA,NA,281650.34375,6754409.5,119625.90625,4988182,"215",2,"Cluster_0039",111.031482230763,110.024206230763,4.70696034153924,"M-H","Cluster_0039",NA,NA,NA,NA,NA,NA,NA,"C5H5NO2|CH8N2O2P|C3H3N4O","[M - H]-|[M - H]-|[M - H]-"
