"","Row","m.z","RT","Annotation.ID","formula","adduct","evidence","MSI.Level","Comment","SIRIUS_molecularFormula","SIRIUS_adduct"
"113","Cluster_0225",130.0865755,0.963362854,"Norleucine","C6H13NO2 ","[M-H]-","MS1 + RT",1,"RT: 1.099","C6H13NO2|C2H9N7|C4H11N4O","[M - H]-|[M - H]-|[M - H]-"
"114","Cluster_0226",130.985254,0.532440866,"","","","",NA,"","C3H2NO5|CN4O4|C4H6NS2|C3H5N2PS|C7H2NS","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"115","Cluster_0227",131.0458551,0.689940991,"","","","",NA,"","",""
"116","Cluster_0228",131.070709,3.007158468,"","","","",NA,"","C6H12O3|C4H10N3O2","[M - H]-|[M - H]-"
"117","Cluster_0229",132.9455686,0.703806144,"","","","",NA,"","",""
"118","Cluster_0230",133.015496,0.702880596,"","","","",NA,"","",""
"119","Cluster_0231",134.0062746,4.023520106,"","","","",NA,"","CH3N4O4|C4H9OP2|C5H9ClP","[M - H]-|[M - H]-|[M - H]-"
"120","Cluster_0232",137.0357568,0.680219748,"","","","",NA,"","",""
"121","Cluster_0233",142.0508107,0.701879851,"","","","",NA,"","",""
"122","Cluster_0234",142.9756837,0.718244302,"","","","",NA,"","",""
"123","Cluster_0235",144.9250495,7.210853262,"","","","",NA,"","C4H2S3|C3O3P2|H5NPS3","[M - H]-|[M - H]-|[M - H]-"
"124","Cluster_0236",144.9250282,7.713638338,"","","","",NA,"","C3O3P2|C4H2S3|H5NPS3","[M - H]-|[M - H]-|[M - H]-"
"125","Cluster_0237",145.0154661,0.713740383,"","","","",NA,"","C5H6O5|C4H7N2O2P|C6H2N4O|C6H10S2|C8H4NO2|C4N7|C2H5N5OP|H3N8P","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"126","Cluster_0238",146.0456832,0.69908623,"","","","",NA,"","C5H9NO4|C6H5N5|C3H7N4O3|C2H8N6P","[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"127","Cluster_0239",150.0013328,4.024538183,"","","","",NA,"","C7H5NOS|C3H8N2OPS|CH3N4O5|CH6N5PS|C5H3N4S|C4H9O2P2","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"128","Cluster_0240",151.0259431,0.693385915,"","","","",NA,"","C3H9N2O3P|C5H4N4O2|C7H6NO3|C4H8O6|C3H10N3S2|C5H12OS2|C3H2N7O|CH7N5O2P","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"129","Cluster_0241",151.0258918,0.819664035,"","","","",NA,"","C3H9N2O3P|C5H4N4O2|C4H8O6|C7H6NO3|C3H10N3S2|CH7N5O2P|C5H12OS2|C3H2N7O","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"130","Cluster_0242",154.061813,0.677185273,"","","","",NA,"","",""
"131","Cluster_0243",158.9257485,0.729182745,"","","","",NA,"","",""
"132","Cluster_0244",158.9800354,0.532652963,"","","","",NA,"","C4NO6|C5H4NOS2|C3H2N4S2|CH7N2OPS2|C2H8O2P2S|H3N2O6P|C2H10P4","[M]+|[M]+|[M]+|[M]+|[M]+|[M]+|[M]+"
"133","Cluster_0246",159.0658379,7.069476278,"","","","",NA,"","C7H12O4|C5H10N3O3|C8H8N4","[M - H]-|[M - H]-|[M - H]-"
"134","Cluster_0247",159.1024687,3.795623841,"","","","",NA,"","C8H16O3|C6H14N3O2","[M - H]-|[M - H]-"
"135","Cluster_0248",160.0612563,0.698503093,"","","","",NA,"","",""
"136","Cluster_0249",160.9195856,7.675624295,"","","","",NA,"","C4H2OS3|C3O4P2|H5NOPS3|C2N3S3","[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"137","Cluster_0250",163.0406167,2.958129908,"","","","",NA,"","",""
"138","Cluster_0252",164.070907,0.984351494,"","","","",NA,"","C9H11NO2|C6H13O5|C5H14N2O2P|C7H9N4O|C3H12N5OP|C7H17S2|C5H7N7|C2H11N7S|CH10N8P","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"139","Cluster_0253",164.0710391,1.143751084,"","","","",NA,"","C9H11NO2|C5H14N2O2P|C2H11N7S|C7H9N4O|C7H17S2|C3H12N5OP|CH10N8P","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"140","Cluster_0254",164.0708373,1.645372399,"","","","",NA,"","C9H11NO2|C7H9N4O|C6H13O5|C3H12N5OP|C5H14N2O2P|C2H11N7S|C5H7N7|C7H17S2|CH10N8P","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"141","Cluster_0255",165.0203572,2.760958627,"","","","",NA,"","C3H8N3O3S|C8H6O4|CH6N6O2S|C7H7N2OP|C4H9NO4P|C5H5N5P|CH8N6P2|C9H2N4|C11H4NO","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"142","Cluster_0256",165.0557888,3.193473714,"","","","",NA,"","C9H10O3|C5H13NO3P|C7H8N3O2|C4H12N3O2S|C3H11N4O2P|C2H10N6OS|H8N9S","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"143","Cluster_0257",165.9804473,4.021913049,"","","","",NA,"","C7H5NS2|C3H8N2PS2|C4H9NS3|C3H5NO5S|C5H2N3O2P|CH3N4O4S|C2H4N2O5P|C3N6OP|CH5N4O2P2","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"144","Cluster_0259",167.02099,0.704380248,"","","","",NA,"","",""
"145","Cluster_0260",168.0266799,0.692042485,"","","","",NA,"","",""
"146","Cluster_0261",170.0459366,0.691808776,"","","","",NA,"","",""
"147","Cluster_0262",170.0458232,0.867211789,"","","","",NA,"","C3H12N2O4P|C7H9NO4|CH10N5O3P|C5H7N4O3|C8H5N5|C4H8N6P","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"148","Cluster_0263",171.006166,0.729532525,"","","","",NA,"","C3H9O6P|CH7N3O5P|C4H5N4O2P|C5H4N2O5|C2H8N2O5S|C8H2N3O2|C6H8N2S2|C2H11N3PS2|H6N5O4S|C6N6O","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"149","Cluster_0264",171.1023699,7.005412359,"","","","",NA,"","C9H16O3|C7H14N3O2","[M - H]-|[M - H]-"
"150","Cluster_0265",173.0102961,0.711005434,"","","","",NA,"","C5H7N2O3P|C6H6O6|C2H9NO6P|C3H5N5O2P|C7H2N4O2|C5H8N3S2|C7H10OS2|C9H4NO3|CH8N3O5S|H2N10S","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"151","Cluster_0266",173.081415,3.095415396,"","","","",NA,"","C8H14O4|C6H12N3O3|C9H10N4","[M - H]-|[M - H]-|[M - H]-"
"152","Cluster_0267",174.0408879,0.704938687,"","","","",NA,"","",""
"153","Cluster_0269",175.0607921,2.521812908,"","","","",NA,"","C7H12O5|C5H10N3O4|C8H8N4O|C8H16S2|C6H6N7|C2H9N8P|C7H15NPS","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"154","Cluster_6948",137.0255887,3.638112293,"4-hydroxybenzoic acid","C7H6O3","[M-H]-","MS2",2,"","",""
"155","Cluster_0271",181.0397131,0.687052713,"","","","",NA,"","",""
"156","Cluster_0272",181.9751073,4.023710957,"","","","",NA,"","C3H5NO6S|C7H5NOS2|C3H8N2OPS2|CH3N4O5S|C2H7N4S3|C5H2N3O3P|CH5N4O3P2|C3N6O2P|C2H4N2O6P|C6HNO6","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"157","Cluster_0273",182.0226348,0.694374008,"","","","",NA,"","",""
"158","Cluster_0274",185.0216885,0.727173204,"","","","",NA,"","",""
"159","Cluster_0276",185.9949713,0.843647605,"","","","",NA,"","",""
"160","Cluster_0277",186.1146562,2.956950385,"","","","",NA,"","C9H17NO3|C8H18N3P|C12H15N2","[M - H]-|[M - H]-|[M - H]-"
"161","Cluster_0278",187.1100181,0.659818603,"","","","",NA,"","C8H16N2O3|C7H17N4P|C11H14N3","[M - H]-|[M - H]-|[M - H]-"
"162","Cluster_0279",187.097291,3.431699125,"","","","",NA,"","C9H16O4|C7H14N3O3|C10H12N4|C6H15N5P","[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"163","Cluster_0280",187.1352463,4.599950018,"","","","",NA,"","C10H20O3|C13H18N|C9H21N2P","[M - H]-|[M - H]-|[M - H]-"
"164","Cluster_0281",187.1351758,4.837961678,"","","","",NA,"","C10H20O3|C9H21N2P|C13H18N","[M - H]-|[M - H]-|[M - H]-"
"165","Cluster_0284",188.0560867,0.695912349,"","","","",NA,"","",""
"166","Cluster_0285",188.0558537,0.86524846,"","","","",NA,"","C7H11NO5|C5H9N4O4|C8H7N5O|C6H5N8|C2H8N9P","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"167","Cluster_0286",188.1109742,4.203824612,"","","","",NA,"","C9H19NOS|C7H17N4S|C2H11N11","[M - H]-|[M - H]-|[M - H]-"
"168","Cluster_0287",189.0763257,2.683490167,"","","","",NA,"","",""
"169","Cluster_0288",189.9899755,0.678711121,"","","","",NA,"","C5H6NO5P|C3H4N4O4P|C2H8O8P|CH9N2O5P2|CH2N7O3P|C6H10NPS2|C9H3O5|C7HN3O4|CH7N2O7S|C2H3N6O3S","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"170","Cluster_0289",191.0204691,0.742421999,"","","","",NA,"","C6H8O7|C3H7N5O3P|C7H4N4O3|C9H6NO4|CH5N8O2P|C5H2N7O2|C10H10P2|C6H13NP3","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"171","Cluster_0290",194.968675,0.734273029,"","","","",NA,"","",""
"172","Cluster_0291",196.0734632,0.686657355,"","","","",NA,"","C8H11N3O3|C6H16NO4P|C4H14N4O3P|C11H9N4|C10H13O4|C2H12N7O2P","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"173","Cluster_0292",196.9760325,0.736635867,"","","","",NA,"","",""
