from	to	group_mass	formula_mass	mass_mass	HSIDs	mzincrement	RTincrement	gnps_cosine	gnps_mass	interaction
Cluster_0012	Cluster_0008	Methylation (+CH2)	CH2	14.01565006						MassDifference
Cluster_0016	Cluster_0008	Ethylation (+C2H4)	C2H4	28.03130013						MassDifference
Cluster_0016	Cluster_0012	Methylation (+CH2)	CH2	14.01565006						MassDifference
Cluster_0021	Cluster_0012	Ethylation (+C2H4)	C2H4	28.03130013						MassDifference
Cluster_0021	Cluster_0016	Methylation (+CH2)	CH2	14.01565006						MassDifference
Cluster_0057	Cluster_0056	Hydrogenation (+H2)	H2	2.015650064						MassDifference
Cluster_0081	Cluster_0075	Methylation (+CH2)	CH2	14.01565006						MassDifference
Cluster_0082	Cluster_0075	Amination (+NH)	NH	15.01089904						MassDifference
Cluster_0085	Cluster_0079	Methylation (+CH2)	CH2	14.01565006						MassDifference
Cluster_0121	Cluster_0036	Amination (+NH3)	NH3	17.02654911						MassDifference
Cluster_0131	Cluster_0125	Deamination (+CH2O)	CH2O	30.01056468						MassDifference
Cluster_0135	Cluster_0123	C2H4O	C2H4O	44.02621475						MassDifference
Cluster_0142	Cluster_0135	C2H2	C2H2	26.01565006						MassDifference
Cluster_0144	Cluster_0134	O2	O2	31.98982924						MassDifference
Cluster_0152	Cluster_0145	Condensation (+H2O)	H2O	18.01056469						MassDifference
Cluster_0155	Cluster_0152	Condensation (+H2O)	H2O	18.01056469						MassDifference
Cluster_0168	Cluster_0167	Hydrogenation (+H2)	H2	2.015650064						MassDifference
Cluster_0169	Cluster_0167	Hydrogenation (+H2)	H2	2.015650064						MassDifference
Cluster_0180	Cluster_0167	Condensation (+H2O)	H2O	18.01056469						MassDifference
Cluster_0180	Cluster_0168	Hydroxylation (+O)	O	15.99491462						MassDifference
Cluster_0180	Cluster_0169	Hydroxylation (+O)	O	15.99491462						MassDifference
Cluster_0184	Cluster_0171	Condensation (+H2O)	H2O	18.01056469						MassDifference
Cluster_0185	Cluster_0171	Condensation (+H2O)	H2O	18.01056469						MassDifference
Cluster_0189	Cluster_0167	Formylation (+CO)	CO	27.99491462						MassDifference
Cluster_0194	Cluster_0167	Deamination (+CH2O)	CH2O	30.01056468						MassDifference
Cluster_0194	Cluster_0168	Formylation (+CO)	CO	27.99491462						MassDifference
Cluster_0194	Cluster_0169	Formylation (+CO)	CO	27.99491462						MassDifference
Cluster_0194	Cluster_0180	C	C	12						MassDifference
Cluster_0194	Cluster_0189	Hydrogenation (+H2)	H2	2.015650064						MassDifference
Cluster_0197	Cluster_0167	O2	O2	31.98982924						MassDifference
Cluster_0198	Cluster_0168	Deamination (+CH2O)	CH2O	30.01056468						MassDifference
Cluster_0198	Cluster_0169	Deamination (+CH2O)	CH2O	30.01056468						MassDifference
Cluster_0198	Cluster_0180	Methylation (+CH2)	CH2	14.01565006						MassDifference
Cluster_0198	Cluster_0194	Hydrogenation (+H2)	H2	2.015650064						MassDifference
Cluster_0199	Cluster_0168	Deamination (+CH2O)	CH2O	30.01056468						MassDifference
Cluster_0199	Cluster_0169	Deamination (+CH2O)	CH2O	30.01056468						MassDifference
Cluster_0199	Cluster_0180	Methylation (+CH2)	CH2	14.01565006						MassDifference
Cluster_0199	Cluster_0194	Hydrogenation (+H2)	H2	2.015650064						MassDifference
Cluster_0200	Cluster_0168	Deamination (+CH2O)	CH2O	30.01056468						MassDifference
Cluster_0200	Cluster_0169	Deamination (+CH2O)	CH2O	30.01056468						MassDifference
Cluster_0200	Cluster_0180	Methylation (+CH2)	CH2	14.01565006						MassDifference
Cluster_0200	Cluster_0194	Hydrogenation (+H2)	H2	2.015650064						MassDifference
Cluster_0203	Cluster_0173	Deamination (+CH2O)	CH2O	30.01056468						MassDifference
Cluster_0204	Cluster_0189	C	C	12						MassDifference
Cluster_0208	Cluster_0167	Carboxylation (+CO2)	CO2	43.98982924						MassDifference
Cluster_0208	Cluster_0189	Hydroxylation (+O)	O	15.99491462						MassDifference
Cluster_0208	Cluster_0197	C	C	12						MassDifference
Cluster_0209	Cluster_0189	Amination (+NH3)	NH3	17.02654911						MassDifference
Cluster_0209	Cluster_0194	Amination (+NH)	NH	15.01089904						MassDifference
Cluster_0212	Cluster_0168	Carboxylation (+CO2)	CO2	43.98982924						MassDifference
Cluster_0212	Cluster_0169	Carboxylation (+CO2)	CO2	43.98982924						MassDifference
Cluster_0212	Cluster_0180	Formylation (+CO)	CO	27.99491462						MassDifference
Cluster_0212	Cluster_0189	Condensation (+H2O)	H2O	18.01056469						MassDifference
Cluster_0212	Cluster_0194	Hydroxylation (+O)	O	15.99491462						MassDifference
Cluster_0212	Cluster_0197	Methylation (+CH2)	CH2	14.01565006						MassDifference
Cluster_0212	Cluster_0208	Hydrogenation (+H2)	H2	2.015650064						MassDifference
Cluster_0213	Cluster_0168	C2H4O	C2H4O	44.02621475						MassDifference
Cluster_0213	Cluster_0169	C2H4O	C2H4O	44.02621475						MassDifference
Cluster_0213	Cluster_0180	Ethylation (+C2H4)	C2H4	28.03130013						MassDifference
Cluster_0213	Cluster_0194	CH4	CH4	16.03130013						MassDifference
Cluster_0213	Cluster_0198	Methylation (+CH2)	CH2	14.01565006						MassDifference
Cluster_0213	Cluster_0199	Methylation (+CH2)	CH2	14.01565006						MassDifference
Cluster_0213	Cluster_0200	Methylation (+CH2)	CH2	14.01565006						MassDifference
Cluster_0215	Cluster_0181	Deamination (+CH2O)	CH2O	30.01056468						MassDifference
Cluster_0216	Cluster_0170	Carboxylation (+CO2)	CO2	43.98982924						MassDifference
Cluster_0217	Cluster_0170	Carboxylation (+CO2)	CO2	43.98982924						MassDifference
Cluster_0218	Cluster_0173	C2H4O	C2H4O	44.02621475						MassDifference
Cluster_0218	Cluster_0203	Methylation (+CH2)	CH2	14.01565006						MassDifference
Cluster_0219	Cluster_0189	C2H2	C2H2	26.01565006						MassDifference
Cluster_0219	Cluster_0194	C2	C2	24						MassDifference
Cluster_0219	Cluster_0204	Methylation (+CH2)	CH2	14.01565006						MassDifference
Cluster_0221	Cluster_0189	Deamination (+CH2O)	CH2O	30.01056468						MassDifference
Cluster_0221	Cluster_0194	Formylation (+CO)	CO	27.99491462						MassDifference
Cluster_0221	Cluster_0197	C2H2	C2H2	26.01565006						MassDifference
Cluster_0221	Cluster_0204	Condensation (+H2O)	H2O	18.01056469						MassDifference
Cluster_0221	Cluster_0208	Methylation (+CH2)	CH2	14.01565006						MassDifference
Cluster_0221	Cluster_0212	C	C	12						MassDifference
Cluster_0222	Cluster_0194	Ethylation (+C2H4)	C2H4	28.03130013						MassDifference
Cluster_0222	Cluster_0198	C2H2	C2H2	26.01565006						MassDifference
Cluster_0222	Cluster_0199	C2H2	C2H2	26.01565006						MassDifference
Cluster_0222	Cluster_0200	C2H2	C2H2	26.01565006						MassDifference
Cluster_0222	Cluster_0213	C	C	12						MassDifference
Cluster_0223	Cluster_0194	Ethylation (+C2H4)	C2H4	28.03130013						MassDifference
Cluster_0223	Cluster_0198	C2H2	C2H2	26.01565006						MassDifference
Cluster_0223	Cluster_0199	C2H2	C2H2	26.01565006						MassDifference
Cluster_0223	Cluster_0200	C2H2	C2H2	26.01565006						MassDifference
Cluster_0223	Cluster_0213	C	C	12						MassDifference
Cluster_0225	Cluster_0195	Ethylation (+C2H4)	C2H4	28.03130013						MassDifference
Cluster_0226	Cluster_0196	Ethylation (+C2H4)	C2H4	28.03130013						MassDifference
Cluster_0226	Cluster_0207	Hydroxylation (+O)	O	15.99491462						MassDifference
Cluster_0227	Cluster_0209	Amination (+NH)	NH	15.01089904						MassDifference
Cluster_0228	Cluster_0180	C3H6	C3H6	42.04695019						MassDifference
Cluster_0228	Cluster_0198	Ethylation (+C2H4)	C2H4	28.03130013						MassDifference
Cluster_0228	Cluster_0199	Ethylation (+C2H4)	C2H4	28.03130013						MassDifference
Cluster_0228	Cluster_0200	Ethylation (+C2H4)	C2H4	28.03130013						MassDifference
Cluster_0228	Cluster_0213	Methylation (+CH2)	CH2	14.01565006						MassDifference
Cluster_0228	Cluster_0222	Hydrogenation (+H2)	H2	2.015650064						MassDifference
Cluster_0228	Cluster_0223	Hydrogenation (+H2)	H2	2.015650064						MassDifference
Cluster_0230	Cluster_0180	Carboxylation (+CO2)	CO2	43.98982924						MassDifference
Cluster_0230	Cluster_0194	O2	O2	31.98982924						MassDifference
Cluster_0230	Cluster_0197	Deamination (+CH2O)	CH2O	30.01056468						MassDifference
Cluster_0230	Cluster_0208	Condensation (+H2O)	H2O	18.01056469						MassDifference
Cluster_0230	Cluster_0212	Hydroxylation (+O)	O	15.99491462						MassDifference
Cluster_0232	Cluster_0216	Amination (+NH)	NH	15.01089904						MassDifference
Cluster_0232	Cluster_0217	Amination (+NH)	NH	15.01089904						MassDifference
Cluster_0233	Cluster_0209	C2H2	C2H2	26.01565006						MassDifference
Cluster_0233	Cluster_0219	Amination (+NH3)	NH3	17.02654911						MassDifference
Cluster_0235	Cluster_0205	O2	O2	31.98982924						MassDifference
Cluster_0236	Cluster_0205	O2	O2	31.98982924						MassDifference
Cluster_0237	Cluster_0194	Carboxylation (+CO2)	CO2	43.98982924						MassDifference
Cluster_0237	Cluster_0197	Acetylation (+C2H2O)	C2H2O	42.01056469						MassDifference
Cluster_0237	Cluster_0208	Deamination (+CH2O)	CH2O	30.01056468						MassDifference
Cluster_0237	Cluster_0212	Formylation (+CO)	CO	27.99491462						MassDifference
Cluster_0237	Cluster_0221	Hydroxylation (+O)	O	15.99491462						MassDifference
Cluster_0237	Cluster_0230	C	C	12						MassDifference
Cluster_0238	Cluster_0195	Carboxylation (+CO2)	CO2	43.98982924						MassDifference
Cluster_0238	Cluster_0209	Deamination (+CH2O)	CH2O	30.01056468						MassDifference
Cluster_0238	Cluster_0221	Amination (+NH3)	NH3	17.02654911						MassDifference
Cluster_0239	Cluster_0231	Hydroxylation (+O)	O	15.99491462						MassDifference
Cluster_0240	Cluster_0230	Condensation (+H2O)	H2O	18.01056469						MassDifference
Cluster_0241	Cluster_0230	Condensation (+H2O)	H2O	18.01056469						MassDifference
Cluster_0242	Cluster_0232	Amination (+NH3)	NH3	17.02654911						MassDifference
Cluster_0244	Cluster_0207	Carboxylation (+CO2)	CO2	43.98982924						MassDifference
Cluster_0244	Cluster_0226	Formylation (+CO)	CO	27.99491462						MassDifference
Cluster_0246	Cluster_0197	C4H8	C4H8	56.06260026						MassDifference
Cluster_0246	Cluster_0212	C3H6	C3H6	42.04695019						MassDifference
Cluster_0246	Cluster_0213	Acetylation (+C2H2O)	C2H2O	42.01056469						MassDifference
Cluster_0246	Cluster_0222	Deamination (+CH2O)	CH2O	30.01056468						MassDifference
Cluster_0246	Cluster_0223	Deamination (+CH2O)	CH2O	30.01056468						MassDifference
Cluster_0246	Cluster_0228	Formylation (+CO)	CO	27.99491462						MassDifference
Cluster_0247	Cluster_0198	C4H8	C4H8	56.06260026						MassDifference
Cluster_0247	Cluster_0199	C4H8	C4H8	56.06260026						MassDifference
Cluster_0247	Cluster_0200	C4H8	C4H8	56.06260026						MassDifference
Cluster_0247	Cluster_0213	C3H6	C3H6	42.04695019						MassDifference
Cluster_0247	Cluster_0228	Ethylation (+C2H4)	C2H4	28.03130013						MassDifference
Cluster_0248	Cluster_0209	C2H4O	C2H4O	44.02621475						MassDifference
Cluster_0248	Cluster_0233	Condensation (+H2O)	H2O	18.01056469						MassDifference
Cluster_0248	Cluster_0238	Methylation (+CH2)	CH2	14.01565006						MassDifference
Cluster_0249	Cluster_0235	Hydroxylation (+O)	O	15.99491462						MassDifference
Cluster_0249	Cluster_0236	Hydroxylation (+O)	O	15.99491462						MassDifference
Cluster_0250	Cluster_0194	C5H2	C5H2	62.01565006						MassDifference
Cluster_0250	Cluster_0215	Acetylation (+C2H2O)	C2H2O	42.01056469						MassDifference
Cluster_0252	Cluster_0195	C5H2	C5H2	62.01565006						MassDifference
Cluster_0252	Cluster_0216	C3H6	C3H6	42.04695019						MassDifference
Cluster_0252	Cluster_0217	C3H6	C3H6	42.04695019						MassDifference
Cluster_0253	Cluster_0195	C5H2	C5H2	62.01565006						MassDifference
Cluster_0253	Cluster_0216	C3H6	C3H6	42.04695019						MassDifference
Cluster_0253	Cluster_0217	C3H6	C3H6	42.04695019						MassDifference
Cluster_0254	Cluster_0195	C5H2	C5H2	62.01565006						MassDifference
Cluster_0254	Cluster_0216	C3H6	C3H6	42.04695019						MassDifference
Cluster_0254	Cluster_0217	C3H6	C3H6	42.04695019						MassDifference
Cluster_0255	Cluster_0197	C5H2	C5H2	62.01565006						MassDifference
Cluster_0255	Cluster_0215	Carboxylation (+CO2)	CO2	43.98982924						MassDifference
Cluster_0256	Cluster_0198	C5H2	C5H2	62.01565006						MassDifference
Cluster_0256	Cluster_0199	C5H2	C5H2	62.01565006						MassDifference
Cluster_0256	Cluster_0200	C5H2	C5H2	62.01565006						MassDifference
Cluster_0256	Cluster_0215	C2H4O	C2H4O	44.02621475						MassDifference
Cluster_0256	Cluster_0250	Hydrogenation (+H2)	H2	2.015650064						MassDifference
Cluster_0259	Cluster_0240	Hydroxylation (+O)	O	15.99491462						MassDifference
Cluster_0259	Cluster_0241	Hydroxylation (+O)	O	15.99491462						MassDifference
Cluster_0261	Cluster_0233	Formylation (+CO)	CO	27.99491462						MassDifference
Cluster_0261	Cluster_0238	C2	C2	24						MassDifference
Cluster_0262	Cluster_0233	Formylation (+CO)	CO	27.99491462						MassDifference
Cluster_0262	Cluster_0238	C2	C2	24						MassDifference
Cluster_0263	Cluster_0234	Ethylation (+C2H4)	C2H4	28.03130013						MassDifference
Cluster_0264	Cluster_0198	Isoprenylation (+C5H8)	C5H8	68.06260026						MassDifference
Cluster_0264	Cluster_0199	Isoprenylation (+C5H8)	C5H8	68.06260026						MassDifference
Cluster_0264	Cluster_0200	Isoprenylation (+C5H8)	C5H8	68.06260026						MassDifference
Cluster_0264	Cluster_0222	C3H6	C3H6	42.04695019						MassDifference
Cluster_0264	Cluster_0223	C3H6	C3H6	42.04695019						MassDifference
Cluster_0264	Cluster_0247	C	C	12						MassDifference
Cluster_0265	Cluster_0221	Carboxylation (+CO2)	CO2	43.98982924						MassDifference
Cluster_0265	Cluster_0237	Formylation (+CO)	CO	27.99491462						MassDifference
Cluster_0266	Cluster_0212	C4H8	C4H8	56.06260026						MassDifference
Cluster_0266	Cluster_0222	C2H4O	C2H4O	44.02621475						MassDifference
Cluster_0266	Cluster_0223	C2H4O	C2H4O	44.02621475						MassDifference
Cluster_0266	Cluster_0228	Acetylation (+C2H2O)	C2H2O	42.01056469						MassDifference
Cluster_0266	Cluster_0246	Methylation (+CH2)	CH2	14.01565006						MassDifference
Cluster_0267	Cluster_0233	O2	O2	31.98982924						MassDifference
Cluster_0267	Cluster_0238	Formylation (+CO)	CO	27.99491462						MassDifference
Cluster_0269	Cluster_0228	Carboxylation (+CO2)	CO2	43.98982924						MassDifference
Cluster_0269	Cluster_0230	C3H6	C3H6	42.04695019						MassDifference
Cluster_0269	Cluster_0246	Hydroxylation (+O)	O	15.99491462						MassDifference
Cluster_0270	Cluster_0250	Amination (+NH3)	NH3	17.02654911						MassDifference
Cluster_0270	Cluster_0252	Hydroxylation (+O)	O	15.99491462						MassDifference
Cluster_0270	Cluster_0253	Hydroxylation (+O)	O	15.99491462						MassDifference
Cluster_0270	Cluster_0254	Hydroxylation (+O)	O	15.99491462						MassDifference
Cluster_0270	Cluster_0256	Amination (+NH)	NH	15.01089904						MassDifference
Cluster_0271	Cluster_0240	Deamination (+CH2O)	CH2O	30.01056468						MassDifference
Cluster_0271	Cluster_0241	Deamination (+CH2O)	CH2O	30.01056468						MassDifference
Cluster_0271	Cluster_0255	Amination (+NH2)	NH2	16.01872407						MassDifference
Cluster_0271	Cluster_0259	Methylation (+CH2)	CH2	14.01565006						MassDifference
Cluster_0272	Cluster_0257	Hydroxylation (+O)	O	15.99491462						MassDifference
Cluster_0274	Cluster_0234	C3H6	C3H6	42.04695019						MassDifference
Cluster_0274	Cluster_0263	Methylation (+CH2)	CH2	14.01565006						MassDifference
Cluster_0277	Cluster_0264	Amination (+NH)	NH	15.01089904						MassDifference
Cluster_0278	Cluster_0227	C4H8	C4H8	56.06260026						MassDifference
Cluster_0279	Cluster_0246	Ethylation (+C2H4)	C2H4	28.03130013						MassDifference
Cluster_0279	Cluster_0247	Formylation (+CO)	CO	27.99491462						MassDifference
Cluster_0279	Cluster_0264	Hydroxylation (+O)	O	15.99491462						MassDifference
Cluster_0279	Cluster_0266	Methylation (+CH2)	CH2	14.01565006						MassDifference
Cluster_0280	Cluster_0228	C4H8	C4H8	56.06260026						MassDifference
Cluster_0280	Cluster_0247	Ethylation (+C2H4)	C2H4	28.03130013						MassDifference
Cluster_0280	Cluster_0264	CH4	CH4	16.03130013						MassDifference
Cluster_0281	Cluster_0228	C4H8	C4H8	56.06260026						MassDifference
Cluster_0281	Cluster_0247	Ethylation (+C2H4)	C2H4	28.03130013						MassDifference
Cluster_0281	Cluster_0264	CH4	CH4	16.03130013						MassDifference
Cluster_0284	Cluster_0238	Acetylation (+C2H2O)	C2H2O	42.01056469						MassDifference
Cluster_0284	Cluster_0248	Formylation (+CO)	CO	27.99491462						MassDifference
Cluster_0284	Cluster_0261	Condensation (+H2O)	H2O	18.01056469						MassDifference
Cluster_0284	Cluster_0262	Condensation (+H2O)	H2O	18.01056469						MassDifference
Cluster_0284	Cluster_0267	Methylation (+CH2)	CH2	14.01565006						MassDifference
Cluster_0285	Cluster_0238	Acetylation (+C2H2O)	C2H2O	42.01056469						MassDifference
Cluster_0285	Cluster_0248	Formylation (+CO)	CO	27.99491462						MassDifference
Cluster_0285	Cluster_0261	Condensation (+H2O)	H2O	18.01056469						MassDifference
Cluster_0285	Cluster_0262	Condensation (+H2O)	H2O	18.01056469						MassDifference
Cluster_0285	Cluster_0267	Methylation (+CH2)	CH2	14.01565006						MassDifference
Cluster_0287	Cluster_0230	C4H8	C4H8	56.06260026						MassDifference
Cluster_0287	Cluster_0246	Deamination (+CH2O)	CH2O	30.01056468						MassDifference
Cluster_0287	Cluster_0266	Hydroxylation (+O)	O	15.99491462						MassDifference
Cluster_0287	Cluster_0269	Methylation (+CH2)	CH2	14.01565006						MassDifference
Cluster_0289	Cluster_0259	C2	C2	24						MassDifference
Cluster_0289	Cluster_0265	Condensation (+H2O)	H2O	18.01056469						MassDifference
Cluster_0291	Cluster_0242	Acetylation (+C2H2O)	C2H2O	42.01056469						MassDifference
Cluster_0293	Cluster_0257	O2	O2	31.98982924						MassDifference
Cluster_0293	Cluster_0272	Hydroxylation (+O)	O	15.99491462						MassDifference
Cluster_0294	Cluster_0261	Ethylation (+C2H4)	C2H4	28.03130013						MassDifference
Cluster_0294	Cluster_0262	Ethylation (+C2H4)	C2H4	28.03130013						MassDifference
Cluster_0294	Cluster_0270	Condensation (+H2O)	H2O	18.01056469						MassDifference
Cluster_0296	Cluster_0228	Isoprenylation (+C5H8)	C5H8	68.06260026						MassDifference
Cluster_0296	Cluster_0264	Ethylation (+C2H4)	C2H4	28.03130013						MassDifference
Cluster_0296	Cluster_0280	C	C	12						MassDifference
Cluster_0296	Cluster_0281	C	C	12						MassDifference
Cluster_0297	Cluster_0228	Isoprenylation (+C5H8)	C5H8	68.06260026						MassDifference
Cluster_0297	Cluster_0264	Ethylation (+C2H4)	C2H4	28.03130013						MassDifference
Cluster_0297	Cluster_0280	C	C	12						MassDifference
Cluster_0297	Cluster_0281	C	C	12						MassDifference
Cluster_0301	Cluster_0246	C3H6	C3H6	42.04695019						MassDifference
Cluster_0301	Cluster_0247	Acetylation (+C2H2O)	C2H2O	42.01056469						MassDifference
Cluster_0301	Cluster_0264	Deamination (+CH2O)	CH2O	30.01056468						MassDifference
Cluster_0301	Cluster_0266	Ethylation (+C2H4)	C2H4	28.03130013						MassDifference
Cluster_0301	Cluster_0279	Methylation (+CH2)	CH2	14.01565006						MassDifference
Cluster_0302	Cluster_0277	Amination (+NH)	NH	15.01089904						MassDifference
Cluster_0302	Cluster_0278	Methylation (+CH2)	CH2	14.01565006						MassDifference
Cluster_0303	Cluster_0277	Amination (+NH)	NH	15.01089904						MassDifference
Cluster_0303	Cluster_0278	Methylation (+CH2)	CH2	14.01565006						MassDifference
Cluster_0304	Cluster_0277	Amination (+NH)	NH	15.01089904						MassDifference
Cluster_0304	Cluster_0278	Methylation (+CH2)	CH2	14.01565006						MassDifference
Cluster_0308	Cluster_0247	C2H4O	C2H4O	44.02621475						MassDifference
Cluster_0308	Cluster_0278	Amination (+NH2)	NH2	16.01872407						MassDifference
Cluster_0308	Cluster_0279	CH4	CH4	16.03130013						MassDifference
Cluster_0308	Cluster_0280	Hydroxylation (+O)	O	15.99491462						MassDifference
Cluster_0308	Cluster_0281	Hydroxylation (+O)	O	15.99491462						MassDifference
Cluster_0308	Cluster_0301	Hydrogenation (+H2)	H2	2.015650064						MassDifference
Cluster_0309	Cluster_0289	Methylation (+CH2)	CH2	14.01565006						MassDifference
Cluster_0312	Cluster_0252	Acetylation (+C2H2O)	C2H2O	42.01056469						MassDifference
Cluster_0312	Cluster_0253	Acetylation (+C2H2O)	C2H2O	42.01056469						MassDifference
Cluster_0312	Cluster_0254	Acetylation (+C2H2O)	C2H2O	42.01056469						MassDifference
Cluster_0312	Cluster_0270	C2H2	C2H2	26.01565006						MassDifference
Cluster_0313	Cluster_0289	Hydroxylation (+O)	O	15.99491462						MassDifference
Cluster_0315	Cluster_0290	Hydroxylation (+O)	O	15.99491462						MassDifference
Cluster_0319	Cluster_0264	C3H6	C3H6	42.04695019						MassDifference
Cluster_0319	Cluster_0280	C2H2	C2H2	26.01565006						MassDifference
Cluster_0319	Cluster_0281	C2H2	C2H2	26.01565006						MassDifference
Cluster_0319	Cluster_0296	Methylation (+CH2)	CH2	14.01565006						MassDifference
Cluster_0319	Cluster_0297	Methylation (+CH2)	CH2	14.01565006						MassDifference
Cluster_0320	Cluster_0272	O2	O2	31.98982924						MassDifference
Cluster_0320	Cluster_0293	Hydroxylation (+O)	O	15.99491462						MassDifference
Cluster_0321	Cluster_0272	O2	O2	31.98982924						MassDifference
Cluster_0321	Cluster_0293	Hydroxylation (+O)	O	15.99491462						MassDifference
Cluster_0322	Cluster_0263	Carboxylation (+CO2)	CO2	43.98982924						MassDifference
Cluster_0322	Cluster_0293	Amination (+NH3)	NH3	17.02654911						MassDifference
Cluster_0325	Cluster_0246	C4H8	C4H8	56.06260026						MassDifference
Cluster_0325	Cluster_0264	C2H4O	C2H4O	44.02621475						MassDifference
Cluster_0325	Cluster_0266	C3H6	C3H6	42.04695019						MassDifference
Cluster_0325	Cluster_0279	Ethylation (+C2H4)	C2H4	28.03130013						MassDifference
Cluster_0325	Cluster_0280	Formylation (+CO)	CO	27.99491462						MassDifference
Cluster_0325	Cluster_0281	Formylation (+CO)	CO	27.99491462						MassDifference
Cluster_0325	Cluster_0296	Hydroxylation (+O)	O	15.99491462						MassDifference
Cluster_0325	Cluster_0297	Hydroxylation (+O)	O	15.99491462						MassDifference
Cluster_0325	Cluster_0301	Methylation (+CH2)	CH2	14.01565006						MassDifference
Cluster_0325	Cluster_0308	C	C	12						MassDifference
Cluster_0326	Cluster_0247	C4H8	C4H8	56.06260026						MassDifference
Cluster_0326	Cluster_0280	Ethylation (+C2H4)	C2H4	28.03130013						MassDifference
Cluster_0326	Cluster_0281	Ethylation (+C2H4)	C2H4	28.03130013						MassDifference
Cluster_0326	Cluster_0296	CH4	CH4	16.03130013						MassDifference
Cluster_0326	Cluster_0297	CH4	CH4	16.03130013						MassDifference
Cluster_0326	Cluster_0319	Hydrogenation (+H2)	H2	2.015650064						MassDifference
Cluster_0331	Cluster_0277	O2	O2	31.98982924						MassDifference
Cluster_0332	Cluster_0277	O2	O2	31.98982924						MassDifference
Cluster_0337	Cluster_0246	C5H2	C5H2	62.01565006						MassDifference
Cluster_0337	Cluster_0255	C4H8	C4H8	56.06260026						MassDifference
Cluster_0338	Cluster_0306	Condensation (+H2O)	H2O	18.01056469						MassDifference
Cluster_0338	Cluster_0307	Condensation (+H2O)	H2O	18.01056469						MassDifference
Cluster_0338	Cluster_0312	Amination (+NH)	NH	15.01089904						MassDifference
Cluster_0339	Cluster_0311	Amination (+NH3)	NH3	17.02654911						MassDifference
Cluster_0339	Cluster_0313	Amination (+NH2)	NH2	16.01872407						MassDifference
Cluster_0341	Cluster_0259	C4H8	C4H8	56.06260026						MassDifference
Cluster_0341	Cluster_0271	C3H6	C3H6	42.04695019						MassDifference
Cluster_0342	Cluster_0290	Deamination (+CH2O)	CH2O	30.01056468						MassDifference
Cluster_0342	Cluster_0315	Methylation (+CH2)	CH2	14.01565006						MassDifference
Cluster_0343	Cluster_0292	Ethylation (+C2H4)	C2H4	28.03130013						MassDifference
Cluster_0344	Cluster_0292	Ethylation (+C2H4)	C2H4	28.03130013						MassDifference
Cluster_0345	Cluster_0316	Methylation (+CH2)	CH2	14.01565006						MassDifference
Cluster_0347	Cluster_0293	Deamination (+CH2O)	CH2O	30.01056468						MassDifference
Cluster_0347	Cluster_0320	Methylation (+CH2)	CH2	14.01565006						MassDifference
Cluster_0347	Cluster_0321	Methylation (+CH2)	CH2	14.01565006						MassDifference
Cluster_0352	Cluster_0278	C3H6	C3H6	42.04695019						MassDifference
Cluster_0352	Cluster_0302	Ethylation (+C2H4)	C2H4	28.03130013						MassDifference
Cluster_0352	Cluster_0303	Ethylation (+C2H4)	C2H4	28.03130013						MassDifference
Cluster_0352	Cluster_0304	Ethylation (+C2H4)	C2H4	28.03130013						MassDifference
Cluster_0353	Cluster_0278	C3H6	C3H6	42.04695019						MassDifference
Cluster_0353	Cluster_0302	Ethylation (+C2H4)	C2H4	28.03130013						MassDifference
Cluster_0353	Cluster_0303	Ethylation (+C2H4)	C2H4	28.03130013						MassDifference
Cluster_0353	Cluster_0304	Ethylation (+C2H4)	C2H4	28.03130013						MassDifference
Cluster_0354	Cluster_0278	C3H6	C3H6	42.04695019						MassDifference
Cluster_0354	Cluster_0302	Ethylation (+C2H4)	C2H4	28.03130013						MassDifference
Cluster_0354	Cluster_0303	Ethylation (+C2H4)	C2H4	28.03130013						MassDifference
Cluster_0354	Cluster_0304	Ethylation (+C2H4)	C2H4	28.03130013						MassDifference
Cluster_0356	Cluster_0322	Amination (+NH)	NH	15.01089904						MassDifference
Cluster_0358	Cluster_0328	Methylation (+CH2)	CH2	14.01565006						MassDifference
Cluster_0359	Cluster_0278	C2H4O	C2H4O	44.02621475						MassDifference
Cluster_0359	Cluster_0302	Deamination (+CH2O)	CH2O	30.01056468						MassDifference
Cluster_0359	Cluster_0303	Deamination (+CH2O)	CH2O	30.01056468						MassDifference
Cluster_0359	Cluster_0304	Deamination (+CH2O)	CH2O	30.01056468						MassDifference
Cluster_0360	Cluster_0284	Carboxylation (+CO2)	CO2	43.98982924						MassDifference
Cluster_0361	Cluster_0312	Formylation (+CO)	CO	27.99491462						MassDifference
Cluster_0363	Cluster_0338	Methylation (+CH2)	CH2	14.01565006						MassDifference
Cluster_0364	Cluster_0331	Amination (+NH3)	NH3	17.02654911						MassDifference
Cluster_0364	Cluster_0332	Amination (+NH3)	NH3	17.02654911						MassDifference
Cluster_0367	Cluster_0051	C2H4O	C2H4O	44.02621475						MassDifference
Cluster_0367	Cluster_0052	C2H4O	C2H4O	44.02621475						MassDifference
Cluster_0367	Cluster_0338	Amination (+NH)	NH	15.01089904						MassDifference
Cluster_0368	Cluster_0290	Acetylation (+C2H2O)	C2H2O	42.01056469						MassDifference
Cluster_0368	Cluster_0315	C2H2	C2H2	26.01565006						MassDifference
Cluster_0368	Cluster_0342	C	C	12						MassDifference
Cluster_0369	Cluster_0337	CH4	CH4	16.03130013						MassDifference
