Row,m/z,RT,Annotation/ID,formula,adduct,evidence,MSI Level,Comment
Cluster_0229,132.9455686,0.703806144,,,,,,
Cluster_0230,133.015496,0.702880596,,,,,,
Cluster_0231,134.0062746,4.023520106,,,,,,
Cluster_0232,137.0357568,0.680219748,,,,,,
Cluster_0233,142.0508107,0.701879851,,,,,,
Cluster_0234,142.9756837,0.718244302,,,,,,
Cluster_0235,144.9250495,7.210853262,,,,,,
Cluster_0236,144.9250282,7.713638338,,,,,,
Cluster_0237,145.0154661,0.713740383,,,,,,
Cluster_0238,146.0456832,0.69908623,,,,,,
Cluster_0239,150.0013328,4.024538183,,,,,,
Cluster_0240,151.0259431,0.693385915,,,,,,
Cluster_0241,151.0258918,0.819664035,,,,,,
Cluster_0242,154.061813,0.677185273,,,,,,
Cluster_0243,158.9257485,0.729182745,,,,,,
Cluster_0244,158.9800354,0.532652963,,,,,,
Cluster_0246,159.0658379,7.069476278,,,,,,
Cluster_0247,159.1024687,3.795623841,,,,,,
Cluster_0248,160.0612563,0.698503093,,,,,,
Cluster_0249,160.9195856,7.675624295,,,,,,
Cluster_0250,163.0406167,2.958129908,,,,,,
Cluster_0252,164.070907,0.984351494,,,,,,
Cluster_0253,164.0710391,1.143751084,,,,,,
Cluster_0254,164.0708373,1.645372399,,,,,,
Cluster_0255,165.0203572,2.760958627,,,,,,
Cluster_0256,165.0557888,3.193473714,,,,,,
Cluster_0257,165.9804473,4.021913049,,,,,,
Cluster_0259,167.02099,0.704380248,,,,,,
Cluster_0260,168.0266799,0.692042485,,,,,,
Cluster_0261,170.0459366,0.691808776,,,,,,
Cluster_0262,170.0458232,0.867211789,,,,,,
Cluster_0263,171.006166,0.729532525,,,,,,
Cluster_0264,171.1023699,7.005412359,,,,,,
Cluster_0265,173.0102961,0.711005434,,,,,,
Cluster_0266,173.081415,3.095415396,,,,,,
Cluster_0267,174.0408879,0.704938687,,,,,,
Cluster_0269,175.0607921,2.521812908,,,,,,
