Row,m.z,RT,Annotation.ID,formula,adduct,evidence,ms2_available,homol,network_annotation,network_formula,network_inputNode,network_layer,network_comment,key_fragments,mz_diff,seedNo
Cluster_1950,353.1003492,9.319971722,,,,,Yes,no,ascr#7+HPO3,C13H23O9P,Cluster_1254,1_layer_mass,simil:NA; mzdiff:Phosphorylation (+HPO3); homol mz:NA; homol RT:NA,NA,-79.96661449999999,1
Cluster_1951,353.10002480000003,5.47767002,,,,,Yes,no,ascr#7+HPO3,C13H23O9P,Cluster_1254,1_layer_mass,simil:NA; mzdiff:Phosphorylation (+HPO3); homol mz:NA; homol RT:NA,NA,-79.96629010000004,1
Cluster_1976,355.1143761,1.924520554,,,,,Yes,no,ascr#1+HPO3,C13H25O9P,Cluster_1269,1_layer_mass,simil:NA; mzdiff:Phosphorylation (+HPO3); homol mz:NA; homol RT:NA,NA,-79.9647339,1
Cluster_1977,355.1164396,8.359453511,,,,,No,no,ascr#1+HPO3,C13H25O9P,Cluster_1269,1_layer_mass,simil:NA; mzdiff:Phosphorylation (+HPO3); homol mz:NA; homol RT:NA,NA,-79.96679739999996,1
Cluster_1978,355.1158213,5.827791801,,,,,Yes,no,ascr#1+HPO3,C13H25O9P,Cluster_1269,1_layer_mass,simil:NA; mzdiff:Phosphorylation (+HPO3); homol mz:NA; homol RT:NA,NA,-79.96617909999998,1
Cluster_1979,355.1164396,8.359453511,,,,,No,no,ascr#1+HPO3,C13H25O9P,Cluster_1269,1_layer_mass,simil:NA; mzdiff:Phosphorylation (+HPO3); homol mz:NA; homol RT:NA,NA,-79.96679739999996,1
Cluster_2135,375.2398041,10.14528325,,,,,No,no,ascr#10+C4H8O,C19H36O7,Cluster_1509,1_layer_mass,simil:NA; mzdiff:C4H8O; homol mz:NA; homol RT:NA,NA,-72.05948420000004,2
Cluster_2137,375.2398041,10.14528325,,,,,No,no,ascr#10+C4H8O,C19H36O7,Cluster_1509,1_layer_mass,simil:NA; mzdiff:C4H8O; homol mz:NA; homol RT:NA,NA,-72.05948420000004,2
Cluster_2174,381.1321299,9.381437939,,,,,Yes,no,ascr#3+HPO3,C15H27O9P,Cluster_1488,1_layer_mass,simil:NA; mzdiff:Phosphorylation (+HPO3); homol mz:NA; homol RT:NA,NA,-79.96765199999999,1
Cluster_2176,381.1321299,9.381437939,,,,,Yes,no,ascr#3+HPO3,C15H27O9P,Cluster_1488,1_layer_mass,simil:NA; mzdiff:Phosphorylation (+HPO3); homol mz:NA; homol RT:NA,NA,-79.96765199999999,1
Cluster_2178,381.1315583,7.20738598,,,,,Yes,no,ascr#3+HPO3,C15H27O9P,Cluster_1488,1_layer_mass,simil:NA; mzdiff:Phosphorylation (+HPO3); homol mz:NA; homol RT:NA,NA,-79.96708039999999,1
Cluster_2188,383.1475951,7.496242778,,,,,Yes,no,ascr#10+HPO3,C15H29O9P,Cluster_1509,1_layer_mass,simil:NA; mzdiff:Phosphorylation (+HPO3); homol mz:NA; homol RT:NA,NA,-79.96727520000002,1
Cluster_2194,383.2064922,12.91884403,,,,,Yes,no,ascr#3+C5H6O,C20H32O7,Cluster_1488,1_layer_mass,simil:NA; mzdiff:ascr -> mbas (+C5H6O); homol mz:NA; homol RT:NA,NA,-82.0420143,1
Cluster_2279,395.1464629,8.681826118,,,,,Yes,no,ascr#15+HPO3,C16H29O9P,Cluster_1615,1_layer_mass,simil:NA; mzdiff:Phosphorylation (+HPO3); homol mz:NA; homol RT:NA,NA,-79.9664826,1
Cluster_2281,395.1464685,8.698583333,,,,,No,no,ascr#15+HPO3,C16H29O9P,Cluster_1615,1_layer_mass,simil:NA; mzdiff:Phosphorylation (+HPO3); homol mz:NA; homol RT:NA,NA,-79.96648820000001,1
Cluster_2364,411.1781357,9.112078842,,,,,Yes,no,ascr#18+HPO3,C17H33O9P,Cluster_1783,1_layer_mass,simil:NA; mzdiff:Phosphorylation (+HPO3); homol mz:NA; homol RT:NA,NA,-79.96618839999996,1
Cluster_2365,411.178151,9.527664167,,,,,Yes,no,ascr#18+HPO3,C17H33O9P,Cluster_1783,1_layer_mass,simil:NA; mzdiff:Phosphorylation (+HPO3); homol mz:NA; homol RT:NA,NA,-79.9662037,1
Cluster_2408,421.1859792,11.37966085,,,,,No,no,ascr#3+C7H4O2,C22H30O8,Cluster_1488,1_layer_mass,simil:NA; mzdiff:ascr -> hbas (+C7H4O2); homol mz:NA; homol RT:NA,NA,-120.02150130000001,1
Cluster_2409,421.1859792,11.37966085,,,,,No,no,ascr#3+C7H4O2,C22H30O8,Cluster_1488,1_layer_mass,simil:NA; mzdiff:ascr -> hbas (+C7H4O2); homol mz:NA; homol RT:NA,NA,-120.02150130000001,1
Cluster_2549,444.2018519,12.21797278,,,,,No,no,ascr#3+C9H5NO,C24H31NO7,Cluster_1488,1_layer_mass,simil:NA; mzdiff:ascr -> icas (+C9H5NO); homol mz:NA; homol RT:NA,NA,-143.037374,1
Cluster_2550,444.2018642,12.21093333,,,,,No,no,ascr#3+C9H5NO,C24H31NO7,Cluster_1488,1_layer_mass,simil:NA; mzdiff:ascr -> icas (+C9H5NO); homol mz:NA; homol RT:NA,NA,-143.03738629999998,1
Cluster_2551,444.2024813,13.34880436,icas#3,C24H31NO7,,sirius,Yes,no,ascr#3+C9H5NO,C24H31NO7,Cluster_1488,1_layer_mass,simil:NA; mzdiff:ascr -> icas (+C9H5NO); homol mz:NA; homol RT:NA,NA,-143.03800339999998,1
Cluster_2561,446.2177426,12.46122021,,,,,Yes,no,ascr#10+C9H5NO,C24H33NO7,Cluster_1509,1_layer_mass,simil:NA; mzdiff:ascr -> icas (+C9H5NO); homol mz:NA; homol RT:NA,NA,-143.03742270000004,2
Cluster_2671,458.2177132,14.14445018,,,,,Yes,no,ascr#15+C9H5NO,C25H33NO7,Cluster_1615,1_layer_mass,simil:NA; mzdiff:ascr -> icas (+C9H5NO); homol mz:NA; homol RT:NA,NA,-143.03773289999998,2
Cluster_2698,463.217768,7.822657365,,,,,Yes,no,ascr#3+C6H10O5,C21H36O11,Cluster_1488,1_layer_mass,simil:NA; mzdiff:Hexose (C6H10O5); homol mz:NA; homol RT:NA,NA,-162.05329009999997,1
Cluster_2726,465.2325062,8.075087398,,,,,Yes,no,ascr#10+C6H10O5,C21H38O11,Cluster_1509,1_layer_mass,simil:NA; mzdiff:Hexose (C6H10O5); homol mz:NA; homol RT:NA,NA,-162.05218630000002,1
Cluster_3194,524.1675969,10.37349251,,,,,Yes,no,icas#3+HPO3,C24H32NO10P,Cluster_2551,1_layer_mass,simil:NA; mzdiff:Phosphorylation (+HPO3); homol mz:NA; homol RT:NA,NA,-79.96511560000005,1
Cluster_5244,345.1519772,4.455433333,,,,,No,no,ascr#3+CO2,C16H26O8,Cluster_1488,1_layer_mass,simil:NA; mzdiff:Carboxylation (+CO2); homol mz:NA; homol RT:NA,NA,-43.98749929999997,1
Cluster_5303,437.2041793,2.365964084,,,,,Yes,no,ascr#1+C6H10O5,C19H34O11,Cluster_1269,1_layer_mass,simil:NA; mzdiff:Hexose (C6H10O5); homol mz:NA; homol RT:NA,NA,-162.0545371,1
Cluster_6176,300.1377812,8.769949333,,,,,Yes,no,ascr#7+-27.004,NA,Cluster_1254,1_layer_gnps,simil:0.8076; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-27.004046500000015,3
Cluster_6177,301.1643753,7.380558359,,,,,No,no,ascr#7+C2H4,C15H26O6,Cluster_1254,1_layer_mass,simil:NA; mzdiff:Ethylation (+C2H4); homol mz:NA; homol RT:NA,NA,-28.030640600000027,2
Cluster_6178,301.1643753,7.380558359,,,,,No,no,ascr#7+C2H4,C15H26O6,Cluster_1254,1_layer_mass,simil:NA; mzdiff:Ethylation (+C2H4); homol mz:NA; homol RT:NA,NA,-28.030640600000027,2
Cluster_6182,303.181861,10.70006667,,,,,No,no,ascr#1+C2H4,C15H28O6,Cluster_1269,1_layer_mass,simil:NA; mzdiff:Ethylation (+C2H4); homol mz:NA; homol RT:NA,NA,-28.03221880000001,2
Cluster_6215,341.1979403,5.947041896,,,,,Yes,no,ascr#15+C2H2,C18H30O6,Cluster_1615,1_layer_mass,simil:NA; mzdiff:C2H2; homol mz:NA; homol RT:NA,NA,-26.017960000000016,1
Cluster_6217,341.1979403,5.947041896,,,,,No,no,ascr#15+C2H2,C18H30O6,Cluster_1615,1_layer_mass,simil:NA; mzdiff:C2H2; homol mz:NA; homol RT:NA,NA,-26.017960000000016,1
Cluster_6220,345.1522822,3.199916667,,,,,No,no,ascr#3+CO2,C16H26O8,Cluster_1488,1_layer_mass,simil:NA; mzdiff:Carboxylation (+CO2); homol mz:NA; homol RT:NA,NA,-43.98780429999999,1
Cluster_6223,347.208416,8.480025404,,,,,Yes,no,ascr#1+C4H8O,C17H32O7,Cluster_1269,1_layer_mass,simil:NA; mzdiff:C4H8O; homol mz:NA; homol RT:NA,NA,-72.05877379999998,3
Cluster_6267,411.1804636,21.2551527,,,,,No,no,ascr#18+HPO3,C17H33O9P,Cluster_1783,1_layer_mass,simil:NA; mzdiff:Phosphorylation (+HPO3); homol mz:NA; homol RT:NA,NA,-79.96851629999998,1
