Name,m/z,RT,Annotation,formula,adduct,evidence,,,,,
Cluster_0110,137.035898,0.847978984,,,,,,,,,
Cluster_0111,138.0562243,6.196570388,,,,,,,,,
Cluster_0112,138.0562243,6.196570388,,,,,,,,,
Cluster_0113,139.1122087,10.98113067,,,,,,,,,
Cluster_0114,141.0462127,10.07479923,,,,,,,,,
Cluster_0115,141.0562308,5.939501701,,,,,,,,,
Cluster_0116,141.056169,7.117998649,,,,,,,,,
Cluster_0117,142.0517642,2.301100663,,,,,,,,,
Cluster_0118,142.0517464,2.451709065,,,,,,,,,
Cluster_0119,143.0358604,5.72061404,,,,,,,,,
Cluster_0120,143.0358819,4.234717617,,,,,,,,,
Cluster_0121,144.045856,8.230343151,,,,,,,,,
Cluster_0122,144.0460651,8.359445519,,,,,,,,,
Cluster_0123,144.067502,8.525211168,,,,,,,,,
Cluster_0124,144.0460536,5.96051693,,,,,,,,,
Cluster_0125,144.0460562,6.095205045,,,,,,,,,
Cluster_0126,144.0676974,5.286062623,,,,,,,,,
Cluster_0127,144.067502,8.525211168,,,,,,,,,
Cluster_0128,144.9239321,19.06822793,,,,,,,,,
Cluster_0129,144.9239351,19.21803374,,,,,,,,,
Cluster_0130,145.0504931,2.188377286,,,,,,,,,
Cluster_0131,145.0516041,2.303887466,,,,,,,,,
Cluster_0132,145.0518689,5.43093153,,,,,,,,,
Cluster_0133,145.0483948,8.229687607,,,,,,,,,
Cluster_0134,145.062182,1.594715217,,,,,,,,,
Cluster_0135,145.08785,7.842282485,,,,,,,,,
Cluster_0136,145.08785,7.842282485,,,,,,,,,
Cluster_0137,146.0463564,0.851954998,,,,,,,,,
Cluster_0138,146.082286,5.113845034,,,,,,,,,
Cluster_0139,147.0296781,1.502427191,,,,,,,,,
Cluster_0140,147.0675404,1.9632867,,,,,,,,,
Cluster_0141,147.0296651,0.985171635,,,,,,,,,
Cluster_0142,147.0302005,1.139922964,,,,,,,,,
Cluster_0143,147.0459014,7.629512839,,,,,,,,,
Cluster_0144,147.0675866,2.080700571,,,,,,,,,
Cluster_0145,147.06648,2.492987674,,,,,,,,,
Cluster_0146,147.0675365,4.9631816,,,,,,,,,
Cluster_0147,147.066486,4.979377503,,,,,,,,,
Cluster_0148,149.0477808,1.572061822,,,,,,,,,
Cluster_0149,149.0281598,5.152777412,,,,,,,,,
Cluster_0150,151.0264338,1.2070507,,,,,,,,,
Cluster_0151,151.0244404,5.152682289,,,,,,,,,
Cluster_0152,151.0403676,5.432537562,,,,,,,,,
Cluster_0153,151.0284412,0.916147326,,,,,,,,,
Cluster_0154,151.0403733,5.937587072,,,,,,,,,
Cluster_0155,151.0403184,7.178182449,,,,,,,,,
Cluster_0156,152.0360772,2.247602629,,,,,,,,,
Cluster_0157,153.0199889,6.502179643,,,,,,,,,
Cluster_0158,155.1080454,9.065302427,,,,,,,,,
Cluster_0159,155.8661583,20.09338893,,,,,,,,,
Cluster_0160,156.0675693,4.604186264,,,,,,,,,
Cluster_0161,156.0676761,4.709110347,,,,,,,,,
Cluster_0162,156.0676896,5.587398652,,,,,,,,,
Cluster_0163,156.8661873,19.90188854,,,,,,,,,
Cluster_0164,157.0377373,0.80081146,,,,,,,,,
Cluster_0165,157.0377851,0.95420561,,,,,,,,,
Cluster_0166,158.0803102,5.594745067,,,,,,,,,
Cluster_0167,158.0824003,4.785890893,,,,,,,,,
Cluster_0168,158.0824003,4.785890893,,,,,,,,,
Cluster_0169,158.0803102,5.594745067,,,,,,,,,
Cluster_0170,158.0823586,5.872292315,,,,,,,,,
Cluster_0171,158.8476877,0.79620126,,,,,,,,,
Cluster_0172,158.9257998,1.9632867,,,,,,,,,
Cluster_0173,158.9258434,1.980491647,,,,,,,,,
Cluster_0174,159.0302374,7.968636128,,,,,,,,,
Cluster_0175,159.0662605,6.4582553,,,,,,,,,
Cluster_0176,159.0662777,6.477744997,,,,,,,,,
Cluster_0177,160.0415496,8.297571855,,,,,,,,,
Cluster_0178,160.0600182,1.234490435,,,,,,,,,
Cluster_0179,160.84237,1.0872823,,,,,,,,,
Cluster_0180,160.8422752,0.796239121,,,,,,,,,
Cluster_0181,160.8423645,0.885420314,,,,,,,,,
Cluster_0182,160.842278,6.42915342,,,,,,,,,
Cluster_0183,160.8438517,12.87718515,,,,,,,,,
Cluster_0184,160.8422439,7.951799235,,,,,,,,,
Cluster_0185,160.8421419,12.36478447,,,,,,,,,
Cluster_0186,160.8422563,12.59507228,,,,,,,,,
Cluster_0187,160.8421504,7.2036953,,,,,,,,,
Cluster_0188,160.8423206,5.750941276,,,,,,,,,
Cluster_0189,160.8435797,11.707289,,,,,,,,,
Cluster_0190,160.8418211,11.83249888,,,,,,,,,
Cluster_0191,160.8422008,11.9056425,,,,,,,,,
Cluster_0192,160.8423449,2.236542018,,,,,,,,,
Cluster_0193,160.843528,2.577177406,,,,,,,,,
Cluster_0194,160.8418594,8.691065041,,,,,,,,,
Cluster_0195,160.8421117,8.961227742,,,,,,,,,
Cluster_0196,160.8424481,9.072772739,,,,,,,,,
Cluster_0197,160.8419557,11.63630917,,,,,,,,,
Cluster_0198,160.8421258,11.67843319,,,,,,,,,
Cluster_0199,160.8422891,4.707812311,,,,,,,,,
Cluster_0200,160.8423722,5.040232558,,,,,,,,,
Cluster_0201,160.8435483,5.200617039,,,,,,,,,
Cluster_0202,160.8421874,5.349024332,,,,,,,,,
Cluster_0203,160.8422552,5.59918942,,,,,,,,,
Cluster_0204,160.8438466,10.42716159,,,,,,,,,
Cluster_0205,160.8421873,10.5870206,,,,,,,,,
Cluster_0206,160.8420442,10.66397662,,,,,,,,,
Cluster_0207,160.8418946,11.1901599,,,,,,,,,
Cluster_0208,160.8422951,11.35683048,,,,,,,,,
Cluster_0209,160.8422104,10.13565853,,,,,,,,,
Cluster_0210,160.8420113,14.55469875,,,,,,,,,
Cluster_0211,160.8437205,2.197400202,,,,,,,,,
Cluster_0212,160.8421233,9.58578216,,,,,,,,,
Cluster_0213,160.8422481,9.799638654,,,,,,,,,
Cluster_0214,160.8422068,1.9557991,,,,,,,,,
Cluster_0215,160.8437205,2.197400202,,,,,,,,,
Cluster_0216,160.93615,18.82872107,,,,,,,,,
Cluster_0217,160.9360985,19.06650716,,,,,,,,,
Cluster_0218,160.9359874,19.21761824,,,,,,,,,
Cluster_0219,161.0463064,2.7044254,,,,,,,,,
Cluster_0220,161.0362198,11.40181923,,,,,,,,,
Cluster_0221,161.0461135,1.818564222,,,,,,,,,
Cluster_0222,161.0456756,2.055482748,,,,,,,,,
Cluster_0223,161.0822334,5.503230471,,,,,,,,,
Cluster_0224,162.0238452,6.929655328,,,,,,,,,
Cluster_0225,162.0237478,2.529200018,,,,,,,,,
Cluster_0226,162.0424122,1.386396773,,,,,,,,,
Cluster_0227,164.0582323,1.39291686,,,,,,,,,
Cluster_0228,164.0362575,7.853380774,,,,,,,,,
Cluster_0229,164.0720399,7.261386994,,,,,,,,,
Cluster_0230,164.0719781,3.707262841,,,,,,,,,
Cluster_0231,164.0719222,3.902408062,,,,,,,,,
Cluster_0232,164.8363306,0.795938026,,,,,,,,,
Cluster_0233,164.836436,0.885371789,,,,,,,,,
Cluster_0234,164.8363943,1.090699097,,,,,,,,,
Cluster_0235,164.8363946,6.8149896,,,,,,,,,
Cluster_0236,165.0199791,6.452201392,,,,,,,,,
Cluster_0237,165.0236205,0.851566097,,,,,,,,,
Cluster_0238,165.0236055,1.125641474,,,,,,,,,
Cluster_0239,165.0221668,1.608207125,,,,,,,,,
Cluster_0240,165.0561812,7.629755135,,,,,,,,,
Cluster_0241,166.0517934,9.28111805,,,,,,,,,
Cluster_0242,167.0355013,1.714013957,,,,,,,,,
Cluster_0243,168.0676916,1.25326717,,,,,,,,,
Cluster_0244,168.0377676,1.7148015,,,,,,,,,
Cluster_0245,169.0875964,6.423338225,,,,,,,,,
Cluster_0246,169.1237802,10.17361598,,,,,,,,,
Cluster_0247,169.1235125,10.64351372,,,,,,,,,
Cluster_0248,169.123832,14.16741066,,,,,,,,,
Cluster_0249,169.1235869,14.35369117,,,,,,,,,
Cluster_0250,169.1235896,14.4499694,,,,,,,,,
Cluster_0251,169.1237699,14.78674148,,,,,,,,,
Cluster_0252,169.1236788,16.54693316,,,,,,,,,
Cluster_0253,169.1236915,14.95133374,,,,,,,,,
Cluster_0254,169.1237508,12.83308989,,,,,,,,,
Cluster_0255,169.1237349,13.12088488,,,,,,,,,
Cluster_0256,171.1024953,8.082188487,,,,,,,,,
Cluster_0257,172.0983214,6.846514263,,,,,,,,,
Cluster_0258,172.0982981,7.189611804,,,,,,,,,
Cluster_0259,172.0983189,7.403180501,,,,,,,,,
Cluster_0260,172.831664,0.793137504,,,,,,,,,
Cluster_0261,173.0822908,1.409592426,,,,,,,,,
Cluster_0262,173.0820359,7.531647376,,,,,,,,,
Cluster_0263,173.0821874,7.709420908,,,,,,,,,
Cluster_0264,173.0822882,5.549277646,,,,,,,,,
Cluster_0265,173.0820359,7.531647376,,,,,,,,,
Cluster_0266,173.0821874,7.709420908,,,,,,,,,
Cluster_0267,173.0938534,6.755722985,,,,,,,,,
Cluster_0268,174.0415718,0.95420561,,,,,,,,,
Cluster_0269,174.0416144,1.143096961,,,,,,,,,
Cluster_0270,174.041645,0.919620111,,,,,,,,,
Cluster_0271,174.0416144,1.143096961,,,,,,,,,
Cluster_0272,174.0563585,7.789254922,,,,,,,,,
Cluster_0273,174.8295727,0.793547404,,,,,,,,,
Cluster_0274,175.0622372,5.697585175,,,,,,,,,
Cluster_0275,175.0981231,6.002828963,,,,,,,,,
Cluster_0276,175.0618621,6.161925419,,,,,,,,,
Cluster_0277,175.0622372,5.697585175,,,,,,,,,
Cluster_0278,176.03968,5.288861044,,,,,,,,,
Cluster_0279,178.0518314,8.197270914,,,,,,,,,
Cluster_0280,178.0517423,6.530865446,,,,,,,,,
Cluster_0281,178.0517423,6.530865446,,,,,,,,,
Cluster_0282,179.0219067,1.195094289,,,,,,,,,
Cluster_0283,179.0358748,8.953843111,,,,,,,,,
Cluster_0284,179.0564262,0.841209071,,,,,,,,,
Cluster_0285,179.071536,8.346188922,,,,,,,,,
Cluster_0286,180.053836,2.169699799,,,,,,,,,
Cluster_0287,180.0536738,2.372403309,,,,,,,,,
Cluster_0288,180.1038001,11.7446457,,,,,,,,,
Cluster_0289,181.0142597,1.283023985,,,,,,,,,
Cluster_0290,180.9717926,1.018050533,,,,,,,,,
Cluster_0291,181.0142597,1.283023985,,,,,,,,,
Cluster_0292,181.0482599,6.478681213,,,,,,,,,
Cluster_0293,181.0516052,6.638270583,,,,,,,,,
Cluster_0294,181.0516569,5.657867124,,,,,,,,,
Cluster_0295,181.0516664,3.674084778,,,,,,,,,
Cluster_0296,181.0516959,3.759100241,,,,,,,,,
Cluster_0297,182.0463008,2.019138525,,,,,,,,,
Cluster_0298,182.0463981,2.178224094,,,,,,,,,
Cluster_0299,183.0575833,10.70133022,,,,,,,,,
Cluster_0300,183.0558523,5.658627355,,,,,,,,,
Cluster_0301,183.1023559,9.450117202,,,,,,,,,
Cluster_0302,183.1023559,9.581217115,,,,,,,,,
Cluster_0303,183.1023283,11.77164647,,,,,,,,,
Cluster_0304,183.1023315,11.83728652,,,,,,,,,
Cluster_0305,184.0983161,8.663056864,,,,,,,,,
Cluster_0306,185.1182616,10.82746108,,,,,,,,,
Cluster_0307,185.1181124,10.97091821,,,,,,,,,
Cluster_0308,185.1181678,11.11765528,,,,,,,,,
Cluster_0309,185.118175,11.24219602,,,,,,,,,
Cluster_0310,185.1183428,8.4538195,,,,,,,,,
Cluster_0311,185.1182109,8.755916013,,,,,,,,,
Cluster_0312,185.1182213,8.881814332,,,,,,,,,
Cluster_0313,185.1182104,9.014283678,,,,,,,,,
Cluster_0314,185.1182123,9.082268544,,,,,,,,,
Cluster_0315,185.1181766,14.35404647,,,,,,,,,
Cluster_0316,185.1181712,14.44991072,,,,,,,,,
Cluster_0317,185.1182775,14.95186067,,,,,,,,,
Cluster_0318,185.1182413,9.307897347,,,,,,,,,
Cluster_0319,185.1180558,11.77675417,,,,,,,,,
Cluster_0320,185.1182594,9.803742113,,,,,,,,,
Cluster_0321,185.118306,10.11532717,,,,,,,,,
Cluster_0322,185.1181804,7.061784913,,,,,,,,,
Cluster_0323,185.118179,7.124460281,,,,,,,,,
Cluster_0324,185.1182662,13.30243604,,,,,,,,,
Cluster_0325,185.118243,13.40219978,,,,,,,,,
Cluster_0326,186.1140397,8.046118294,,,,,,,,,
Cluster_0327,186.1141057,8.249762081,,,,,,,,,
Cluster_0328,187.1098594,2.820388801,,,,,,,,,
Cluster_0329,187.0079086,7.226396458,,,,,,,,,
Cluster_0330,187.0079086,7.226396458,,,,,,,,,
Cluster_0331,187.1097223,5.701924645,,,,,,,,,
Cluster_0332,187.0618332,5.411535498,,,,,,,,,
Cluster_0333,187.109745,1.596737681,,,,,,,,,
Cluster_0334,187.1098333,3.239392426,,,,,,,,,
Cluster_0335,187.0403739,10.52339777,,,,,,,,,
Cluster_0336,187.1236195,10.960292,,,,,,,,,
Cluster_0337,187.1098807,5.119284898,,,,,,,,,
Cluster_0338,187.0979216,8.512376142,,,,,,,,,
Cluster_0339,187.0982352,8.708021936,,,,,,,,,
Cluster_0340,187.1177425,8.249658877,,,,,,,,,
Cluster_0341,187.1098807,5.119284898,,,,,,,,,
Cluster_0342,187.0982352,8.7074787,,,,,,,,,
Cluster_0343,187.1340906,9.486263879,,,,,,,,,
Cluster_0344,187.133944,11.54049719,,,,,,,,,
Cluster_0345,187.1340719,12.02677251,,,,,,,,,
Cluster_0346,188.0576345,1.201119332,,,,,,,,,
Cluster_0347,188.0576313,1.302137248,,,,,,,,,
Cluster_0348,188.0360604,6.095167537,,,,,,,,,
Cluster_0349,188.09372,6.535872172,,,,,,,,,
Cluster_0350,188.0722301,8.4617114,,,,,,,,,
Cluster_0351,188.09372,6.535872172,,,,,,,,,
Cluster_0352,189.0778754,7.474115746,,,,,,,,,
Cluster_0353,189.0779177,6.286259601,,,,,,,,,
Cluster_0354,189.0597432,1.302115804,,,,,,,,,
Cluster_0355,189.0779177,6.286259601,,,,,,,,,
Cluster_0356,190.0544835,5.428138114,,,,,,,,,
Cluster_0357,190.0555272,5.863799662,,,,,,,,,
Cluster_0358,190.0723724,1.786871621,,,,,,,,,
Cluster_0359,192.0678082,9.214726392,,,,,,,,,
Cluster_0360,192.0678384,7.555711796,,,,,,,,,
Cluster_0361,193.0879451,10.04244627,,,,,,,,,
Cluster_0362,194.0824718,13.52896276,,,,,,,,,
Cluster_0363,195.1144132,5.556682495,,,,,,,,,
Cluster_0364,196.0737149,0.839402831,,,,,,,,,
Cluster_0365,197.0275986,1.386646652,,,,,,,,,
Cluster_0366,197.0440091,6.041217258,,,,,,,,,
Cluster_0367,197.1196009,11.98582461,,,,,,,,,
Cluster_0368,197.9904098,1.180718042,,,,,,,,,
Cluster_0369,197.9904098,1.180718042,,,,,,,,,
Cluster_0370,198.1141207,10.26865737,,,,,,,,,
Cluster_0371,199.0739736,1.457755,,,,,,,,,
Cluster_0372,199.0735639,1.612487169,,,,,,,,,
Cluster_0373,199.0597044,7.044490164,,,,,,,,,
Cluster_0374,199.0735639,1.612487169,,,,,,,,,
Cluster_0375,199.0735462,1.829430913,,,,,,,,,
Cluster_0376,199.09791,9.065004414,,,,,,,,,
Cluster_0377,199.0981706,9.283666963,,,,,,,,,
Cluster_0378,199.134032,9.588005918,,,,,,,,,
Cluster_0379,199.1340507,12.39808582,,,,,,,,,
Cluster_0380,199.1342903,12.48125613,,,,,,,,,
Cluster_0381,199.1340102,12.55970585,,,,,,,,,
Cluster_0382,199.1343056,12.73374723,,,,,,,,,
Cluster_0383,199.1342579,9.796830663,,,,,,,,,
Cluster_0384,199.1343567,13.60428212,,,,,,,,,
Cluster_0385,200.0937129,8.800994406,,,,,,,,,
Cluster_0386,200.0937129,8.800994406,,,,,,,,,
Cluster_0387,200.1300038,9.015195537,,,,,,,,,
Cluster_0388,200.1298521,9.189621683,,,,,,,,,
Cluster_0389,201.0235622,8.521989362,,,,,,,,,
Cluster_0390,201.1138027,6.66994595,,,,,,,,,
Cluster_0391,201.1137706,7.067136115,,,,,,,,,
Cluster_0392,201.1137577,7.238406297,,,,,,,,,
Cluster_0393,201.1136131,7.392700169,,,,,,,,,
Cluster_0394,201.1124547,7.603343991,,,,,,,,,
Cluster_0395,201.1136741,9.281843437,,,,,,,,,
Cluster_0396,201.1137748,9.361587382,,,,,,,,,
Cluster_0397,201.1137535,9.4019591,,,,,,,,,
Cluster_0398,201.113698,9.450214778,,,,,,,,,
Cluster_0399,201.1140242,9.661872745,,,,,,,,,
Cluster_0400,201.1136343,13.11990421,,,,,,,,,
Cluster_0401,201.1257685,2.927847075,,,,,,,,,
Cluster_0402,201.1257143,3.049002768,,,,,,,,,
Cluster_0403,201.1256161,5.076001409,,,,,,,,,
Cluster_0404,202.0724194,2.528892072,,,,,,,,,
Cluster_0405,202.1095892,7.722046349,,,,,,,,,
Cluster_0406,202.1096369,6.966485499,,,,,,,,,
Cluster_0407,203.1295193,7.061908782,,,,,,,,,
Cluster_0408,203.1295187,7.123168328,,,,,,,,,
Cluster_0409,203.1284508,9.736088845,,,,,,,,,
Cluster_0410,203.0824099,5.601955455,,,,,,,,,
Cluster_0411,203.1296622,7.310980046,,,,,,,,,
Cluster_0412,203.1295704,7.534571088,,,,,,,,,
Cluster_0413,203.1296544,7.890800555,,,,,,,,,
Cluster_0414,203.1284653,14.35371979,,,,,,,,,
Cluster_0415,203.1284691,14.44914265,,,,,,,,,
Cluster_0416,203.1284449,9.715357,,,,,,,,,
Cluster_0417,203.1284832,11.12008908,,,,,,,,,
Cluster_0418,203.1284508,11.25263727,,,,,,,,,
Cluster_0419,203.1295827,11.83142653,,,,,,,,,
Cluster_0420,204.0124192,10.01201605,,,,,,,,,
Cluster_0421,204.0703264,6.847563731,,,,,,,,,
Cluster_0422,204.0677589,8.044396597,,,,,,,,,
Cluster_0423,205.0256937,2.518392514,,,,,,,,,
Cluster_0424,205.0364805,1.212859991,,,,,,,,,
Cluster_0425,205.0355342,1.457755,,,,,,,,,
Cluster_0426,205.0361369,1.730953111,,,,,,,,,
Cluster_0427,205.1338406,7.062229649,,,,,,,,,
Cluster_0428,205.1338668,7.122957535,,,,,,,,,
Cluster_0429,206.0295587,9.704291011,,,,,,,,,
Cluster_0430,206.0824183,7.840581472,,,,,,,,,
Cluster_0431,209.0798611,8.512328036,,,,,,,,,
Cluster_0432,209.1301383,6.385710828,,,,,,,,,
Cluster_0433,211.0736509,2.719231084,,,,,,,,,
Cluster_0434,211.0281811,0.838792946,,,,,,,,,
Cluster_0435,211.052227,6.945151315,,,,,,,,,
Cluster_0436,211.0736509,2.719231084,,,,,,,,,
Cluster_0437,211.052227,6.945151315,,,,,,,,,
Cluster_0438,212.0938066,7.41043851,,,,,,,,,
Cluster_0439,213.1138009,9.79531201,,,,,,,,,
Cluster_0440,213.1140064,9.998755653,,,,,,,,,
Cluster_0441,213.1244436,5.857070806,,,,,,,,,
Cluster_0442,213.0895053,6.345917425,,,,,,,,,
Cluster_0443,213.1137542,8.337744205,,,,,,,,,
Cluster_0444,213.1139854,8.513864424,,,,,,,,,
Cluster_0445,213.0895053,6.345917425,,,,,,,,,
Cluster_0446,213.0895129,5.057641719,,,,,,,,,
Cluster_0447,213.1140064,9.998755653,,,,,,,,,
Cluster_0448,213.9942933,7.084241482,,,,,,,,,
Cluster_0449,214.0702746,6.515078247,,,,,,,,,
Cluster_0450,214.0702746,6.515078247,,,,,,,,,
Cluster_0451,214.0724904,5.467972871,,,,,,,,,
Cluster_0452,215.0104182,10.79141546,,,,,,,,,
Cluster_0453,215.1298326,8.713927957,,,,,,,,,
Cluster_0454,215.1284544,8.355035933,,,,,,,,,
Cluster_0455,215.1298945,8.549855371,,,,,,,,,
Cluster_0456,215.1298326,8.713927957,,,,,,,,,
Cluster_0457,215.1299043,10.55309211,,,,,,,,,
Cluster_0458,215.1403406,3.607107426,,,,,,,,,
