"","Row","m.z","RT","Annotation","formula","adduct","evidence","SIRIUS_molecularFormula","SIRIUS_adduct"
"63","Cluster_0063",134.8959061,18.45032846,"","",NA,NA,"",""
"64","Cluster_0064",134.8963093,18.57561048,"","",NA,NA,"CHClNSe|CH2OSSe|HNOPSe","[M - H]-|[M - H]-|[M - H]-"
"65","Cluster_0065",134.8921716,18.5953205,"","",NA,NA,"",""
"66","Cluster_0066",134.8941659,18.63656565,"","",NA,NA,"",""
"67","Cluster_0067",134.8958745,18.64829243,"","",NA,NA,"",""
"68","Cluster_0068",134.8956061,13.10751118,"","",NA,NA,"",""
"69","Cluster_0069",134.8958215,15.54060195,"","",NA,NA,"",""
"70","Cluster_0070",134.895641,16.69077681,"","",NA,NA,"",""
"71","Cluster_0071",134.8955646,16.77025926,"","",NA,NA,"",""
"72","Cluster_0072",134.8956336,16.96914751,"","",NA,NA,"",""
"73","Cluster_0073",134.8955525,17.17540767,"","",NA,NA,"CHClNSe|HNOPSe","[M - H]-|[M - H]-"
"74","Cluster_0074",134.8944432,17.42962204,"","",NA,NA,"",""
"75","Cluster_0075",134.8958985,17.78015812,"","",NA,NA,"",""
"76","Cluster_0076",134.8957908,17.80476003,"","",NA,NA,"",""
"77","Cluster_0077",134.8955303,5.647543998,"","",NA,NA,"",""
"78","Cluster_0078",134.8956552,4.83220879,"","",NA,NA,"",""
"79","Cluster_0079",134.8957506,4.910279553,"","",NA,NA,"",""
"80","Cluster_0080",134.8956705,4.94798037,"","",NA,NA,"",""
"81","Cluster_0081",134.8944848,5.014708748,"","",NA,NA,"CHClNSe|HNOPSe","[M - H]-|[M - H]-"
"82","Cluster_0082",134.8955696,5.090568889,"","",NA,NA,"",""
"83","Cluster_0083",134.8957476,5.2123881,"","",NA,NA,"",""
"84","Cluster_0084",134.8943994,6.633469212,"","",NA,NA,"",""
"85","Cluster_0085",135.0178779,1.139288868,"","",NA,NA,"CH4N4O4|C2N8|C3H6NO5|C4H2N5O|C4H10NS2|H5N6OP","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"86","Cluster_0086",135.0575374,1.965087259,"","",NA,NA,"C7H8N2O|C5H13O2P|C3H11N3OP|C2H10N5S","[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"87","Cluster_0087",135.0575389,1.756416075,"","",NA,NA,"",""
"88","Cluster_0088",135.0459048,5.658274694,"","",NA,NA,"",""
"89","Cluster_0089",136.0404441,7.335463948,"","",NA,NA,"",""
"90","Cluster_0090",136.0404767,6.981706613,"","",NA,NA,"C7H7NO2|C3H10N2O2P|C5H13S2|C5H5N4O|H7N7S|CH8N5OP|C2H9N4OS","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"91","Cluster_0091",136.890353,6.26225001,"","",NA,NA,"",""
"92","Cluster_0092",136.8919796,20.90234795,"","",NA,NA,"",""
"93","Cluster_0093",136.8920737,21.01082797,"","",NA,NA,"CHP3S|NP4","[M - H]-|[M - H]-"
"94","Cluster_0094",136.8919819,21.29582519,"","",NA,NA,"",""
"95","Cluster_0095",136.8920821,18.82495425,"","",NA,NA,"CHP3S|NP4","[M - H]-|[M - H]-"
"96","Cluster_0096",136.8920635,19.04556019,"","",NA,NA,"CHP3S|NP4","[M - H]-|[M - H]-"
"97","Cluster_0097",136.8921723,19.21342295,"","",NA,NA,"CHP3S|NP4","[M - H]-|[M - H]-"
"98","Cluster_0098",136.8919038,19.56421681,"","",NA,NA,"",""
"99","Cluster_0099",136.8921229,19.88648185,"","",NA,NA,"CHP3S|NP4","[M - H]-|[M - H]-"
"100","Cluster_0100",136.8921762,20.00469732,"","",NA,NA,"",""
"101","Cluster_0101",136.8921593,20.0960706,"","",NA,NA,"CHP3S|NP4","[M - H]-|[M - H]-"
"102","Cluster_0102",136.8922505,20.19079786,"","",NA,NA,"",""
"103","Cluster_0103",136.8921608,20.54243182,"","",NA,NA,"",""
"104","Cluster_0104",136.8920799,18.04146691,"","",NA,NA,"",""
"105","Cluster_0105",136.8921168,18.3395179,"","",NA,NA,"",""
"106","Cluster_0106",136.8922555,16.68951649,"","",NA,NA,"",""
