Row,m.z,RT,Annotation.ID,formula,adduct,evidence,ms2_available,homol,network_annotation,network_formula,network_inputNode,network_layer,network_comment,key_fragments,mz_diff,seedNo
Cluster_2048,492.3095221,6.36919725,LPE(19:1),C24H48NO7P,[M-H]-,MS2,Yes,yes,GPNAE(14:0)+C5H8,C24H48NO7P,Cluster_1359,1_layer_mass,simil:NA; mzdiff:Isoprenylation (+C5H8); homol HSID:NA; homol RT:NA,NA,-68.06274359999998,3
Cluster_2049,492.3096619,6.492062625,LPE(19:1),C24H48NO7P,[M-H]-,MS2,Yes,yes,GPNAE(14:0)+C5H8,C24H48NO7P,Cluster_1359,1_layer_mass,simil:NA; mzdiff:Isoprenylation (+C5H8); homol HSID:NA; homol RT:NA,NA,-68.06288339999998,3
Cluster_2065,494.288475,5.199068483,,,,,No,yes,GPNAE(14:1) O+C4H8,C23H46NO8P,Cluster_1488,1_layer_mass,simil:NA; mzdiff:C4H8; homol HSID:NA; homol RT:NA,NA,-56.06273040000002,3
Cluster_2113,498.2622035,5.203287984,GPNAE(20:5),C25H42NO7P,[M-H]-,MS2,Yes,yes,GPNAE(18:5)+C2H4,C25H42NO7P,Cluster_1813,1_layer_mass,simil:NA; mzdiff:Ethylation (+C2H4); homol HSID:NA; homol RT:NA,NA,-28.031257299999993,18
Cluster_2114,498.2631137,5.39799686,LPE(20:5),C25H42NO7P,[M-H]-,MS2,Yes,yes,GPNAE(18:5)+C2H4,C25H42NO7P,Cluster_1812,1_layer_mass,simil:NA; mzdiff:Ethylation (+C2H4); homol HSID:NA; homol RT:NA,NA,-28.03233590000002,4
Cluster_2138,500.2407833,5.14229226,,,,,No,yes,GPNAE(14:1) O+C5H2,C24H40NO8P,Cluster_1488,1_layer_mass,simil:NA; mzdiff:C5H2; homol HSID:NA; homol RT:NA,NA,-62.01503869999999,4
Cluster_2139,500.2714811,2.796623918,,,,,No,yes,GPNAE(15:0)+C5H2,C25H44NO7P,Cluster_1492,1_layer_mass,simil:NA; mzdiff:C5H2; homol HSID:NA; homol RT:NA,NA,-62.009296000000006,4
Cluster_2140,500.2791516,5.511857629,LPE(20:4),C25H44NO7P,[M-H]-,MS2,Yes,yes,GPNAE(15:0)+C5H2,C25H44NO7P,Cluster_1492,1_layer_mass,simil:NA; mzdiff:C5H2; homol HSID:NA; homol RT:NA,NA,-62.01696649999997,4
Cluster_2141,500.2782996,5.608967325,,,,,No,yes,GPNAE(15:0)+C5H2,C25H44NO7P,Cluster_1492,1_layer_mass,simil:NA; mzdiff:C5H2; homol HSID:NA; homol RT:NA,NA,-62.016114500000015,4
Cluster_2142,500.2779863,5.715485895,LPE(20:4),C25H44NO7P,[M-H]-,MS2,Yes,yes,GPNAE(15:0)+C5H2,C25H44NO7P,Cluster_1492,1_layer_mass,simil:NA; mzdiff:C5H2; homol HSID:NA; homol RT:NA,NA,-62.0158012,4
Cluster_2161,502.2939108,5.839497572,,,,,No,yes,GPNAE(16:3)+C4H8,C25H46NO7P,Cluster_1562,1_layer_mass,simil:NA; mzdiff:C4H8; homol HSID:NA; homol RT:NA,NA,-56.062933999999984,2
Cluster_2162,502.2938469,5.938900736,,,,,No,yes,GPNAE(16:3)+C4H8,C25H46NO7P,Cluster_1562,1_layer_mass,simil:NA; mzdiff:C4H8; homol HSID:NA; homol RT:NA,NA,-56.0628701,2
Cluster_2179,504.2337468,4.980825545,,,,,No,yes,GPNAE(18:4)+O2,C23H40NO9P,Cluster_1834,1_layer_mass,simil:NA; mzdiff:O2; homol HSID:NA; homol RT:NA,NA,-31.987299399999984,1
Cluster_2204,506.3248604,6.016709973,,,,,No,yes,GPNAE(15:0)+C5H8,C25H50NO7P,Cluster_1492,1_layer_mass,simil:NA; mzdiff:Isoprenylation (+C5H8); homol HSID:NA; homol RT:NA,NA,-68.06267529999997,3
Cluster_2205,506.32476,6.132407045,,,,,No,yes,GPNAE(15:0)+C5H8,C25H50NO7P,Cluster_1492,1_layer_mass,simil:NA; mzdiff:Isoprenylation (+C5H8); homol HSID:NA; homol RT:NA,NA,-68.06257490000002,3
