Row,m.z,RT,Annotation.ID,formula,adduct,evidence,ms2_available,homol,network_annotation,network_formula,network_inputNode,network_layer,network_comment,key_fragments,mz_diff,seedNo
Cluster_7312,462.2258331,4.640120877,,,,,No,no,GPNAE(14:2)+C2H2O,C21H38NO8P,Cluster_1334,1_layer_mass,simil:NA; mzdiff:Acetylation (+C2H2O); homol HSID:NA; homol RT:NA,NA,-42.01028869999999,4
Cluster_7342,474.2256414,5.425119441,,,,,No,yes,GPNAE(12:0) O+C5H2,C22H38NO8P,Cluster_1277,1_layer_mass,simil:NA; mzdiff:C5H2; homol HSID:NA; homol RT:NA,NA,-62.01510859999996,2
Cluster_7347,476.250445,2.961191651,,,,,No,yes,GPNAE(16:3)+CH2O,C22H40NO8P,Cluster_1562,1_layer_mass,simil:NA; mzdiff:Deamination (+CH2O); homol HSID:NA; homol RT:NA,NA,-30.019468200000006,1
Cluster_7396,494.2883039,4.812672485,,,,,No,no,GPNAE(14:1) O+C4H8,C23H46NO8P,Cluster_1488,1_layer_mass,simil:NA; mzdiff:C4H8; homol HSID:NA; homol RT:NA,NA,-56.06255930000003,3
Cluster_7445,508.2675221,5.798140211,,,,,Yes,no,GPNAE(17:1)+CO2,C23H44NO9P,Cluster_1749,1_layer_mass,simil:NA; mzdiff:Carboxylation (+CO2); homol HSID:NA; homol RT:NA,NA,-43.989505399999985,1
Cluster_7470,516.2357798,4.957056719,,,,,No,yes,GPNAE(18:4)+CO2,C24H40NO9P,Cluster_1834,1_layer_mass,simil:NA; mzdiff:Carboxylation (+CO2); homol HSID:NA; homol RT:NA,NA,-43.98933240000002,1
Cluster_7628,566.3298922,2.947151445,,,,,No,yes,GPNAE(20:5)+C5H8,C30H50NO7P,Cluster_2113,1_layer_mass,simil:NA; mzdiff:Isoprenylation (+C5H8); homol HSID:NA; homol RT:NA,NA,-68.06768870000002,1
Cluster_7791,608.2758768,3.289966016,,,,,No,yes,GPNAE(16:3)+C6H10O5,C27H48NO12P,Cluster_1562,1_layer_mass,simil:NA; mzdiff:Hexose (C6H10O5); homol HSID:NA; homol RT:NA,NA,-162.04489999999998,1
Cluster_7861,626.3206566,3.34586206,,,,,No,yes,GPNAE(17:1)+C6H10O5,C28H54NO12P,Cluster_1749,1_layer_mass,simil:NA; mzdiff:Hexose (C6H10O5); homol HSID:NA; homol RT:NA,NA,-162.04263989999998,1
Cluster_7885,632.2838351,4.532479311,,C29H48NO12P,[M - H]-,MS2,Yes,no,GPNAE(18:5)+C6H10O5,C29H48NO12P,Cluster_1812,1_layer_mass,simil:NA; mzdiff:Hexose (C6H10O5); homol HSID:NA; homol RT:NA,NA,-162.05305730000003,2
Cluster_7886,632.2840319,4.621583038,,C29H48NO12P,[M - H]-,Network,No,no,GPNAE(18:5)+C6H10O5,C29H48NO12P,Cluster_1812,1_layer_mass,simil:NA; mzdiff:Hexose (C6H10O5); homol HSID:NA; homol RT:NA,NA,-162.05325409999995,2
